ds,y
2013/01/01,167.41
2013/01/02,163.12
2013/01/03,163.03
2013/01/04,163.83
2013/01/07,162.32
2013/01/08,165.43
2013/01/09,164.6
2013/01/10,162.77
2013/01/11,158.3
2013/01/14,157.65
2013/01/15,150.55
2013/01/16,154.15
2013/01/17,157.26
2013/01/18,165.12
2013/01/21,164.53
2013/01/22,168.88
2013/01/23,169.07
2013/01/24,167.73
2013/01/28,166.58
2013/01/29,167.82
2013/01/30,167.88
2013/01/31,171.43
2013/02/01,172.56
2013/02/04,172.51
2013/02/06,177.89
2013/02/07,175.83
2013/02/08,176.7
2013/02/11,178.25
2013/02/12,178.33
2013/02/13,179.49
2013/02/14,181.13
2013/02/15,181.8
2013/02/18,181.42
2013/02/19,182.01
2013/02/20,183.08
2013/02/21,187.07
2013/02/22,188.42
2013/02/25,186.04
2013/02/26,184.51
2013/02/27,182.74
2013/02/28,184.21
2013/03/01,184.34
2013/03/04,183.21
2013/03/05,192.37
2013/03/06,201.16
2013/03/07,202.57
2013/03/08,208.28
2013/03/11,199.78
2013/03/12,200.5
2013/03/13,200.15
2013/03/14,199.22
2013/03/15,199.25
2013/03/18,192.46
2013/03/19,195.1
2013/03/20,197.84
2013/03/21,198.84
2013/03/22,197.7
2013/03/25,195.83
2013/03/26,193.77
2013/03/27,201.98
2013/03/28,199.12
2013/03/29,200.49
2013/04/01,201.34
2013/04/02,197.6
2013/04/03,199.94
2013/04/04,206.97
2013/04/05,201.42
2013/04/08,200.01
2013/04/09,200.41
2013/04/10,201.9
2013/04/11,199.88
2013/04/12,197.27
2013/04/15,194.51
2013/04/16,184.79
2013/04/17,186.17
2013/04/18,188.05
2013/04/19,192.57
2013/04/22,193.16
2013/04/23,192.95
2013/04/24,193.01
2013/04/25,193.81
2013/04/26,193.01
2013/04/29,192.45
2013/04/30,192.65
2013/05/02,191.74
2013/05/03,192.65
2013/05/06,193.36
2013/05/07,192.12
2013/05/08,192.59
2013/05/09,192.37
2013/05/10,193.52
2013/05/13,194.68
2013/05/14,191.54
2013/05/15,187.92
2013/05/16,186.84
2013/05/17,186.32
2013/05/20,187.65
2013/05/21,191.38
2013/05/22,194.35
2013/05/23,195.19
2013/05/24,196.15
2013/05/27,193.65
2013/05/28,195.2
2013/05/29,194.26
2013/05/30,194.28
2013/05/31,193.7
2013/06/03,196.3
2013/06/04,197.03
2013/06/05,195.22
2013/06/06,196.08
2013/06/07,197.07
2013/06/10,195.43
2013/06/11,194.81
2013/06/12,198.2
2013/06/13,200.5
2013/06/14,196.03
2013/06/17,192.02
2013/06/18,190.89
2013/06/19,193.09
2013/06/20,190.46
2013/06/21,186.59
2013/06/24,177.51
2013/06/25,170.9
2013/06/26,170.96
2013/06/27,173.04
2013/06/28,172.55
2013/07/01,173.85
2013/07/02,176.11
2013/07/03,178.0
2013/07/04,186.9
2013/07/05,191.71
2013/07/08,195.71
2013/07/09,197.08
2013/07/10,206.93
2013/07/11,212.43
2013/07/12,223.05
2013/07/15,233.37
2013/07/16,236.09
2013/07/17,224.29
2013/07/18,223.63
2013/07/19,224.48
2013/07/22,225.17
2013/07/23,236.42
2013/07/24,248.24
2013/07/25,258.52
2013/07/26,268.23
2013/07/29,272.81
2013/07/30,262.93
2013/07/31,259.63
2013/08/01,255.15
2013/08/05,257.34
2013/08/06,253.77
