ds,y
2013/01/01,91.06
2013/01/02,88.74
2013/01/03,88.64
2013/01/04,89.03
2013/01/07,88.27
2013/01/08,88.6
2013/01/09,88.57
2013/01/10,86.98
2013/01/11,86.52
2013/01/14,85.91
2013/01/15,81.92
2013/01/16,83.8
2013/01/17,85.64
2013/01/18,87.71
2013/01/21,86.77
2013/01/22,88.54
2013/01/23,90.37
2013/01/24,90.38
2013/01/28,91.8
2013/01/29,95.6
2013/01/30,94.38
2013/01/31,94.1
2013/02/01,92.9
2013/02/04,94.76
2013/02/06,95.87
2013/02/07,94.44
2013/02/08,94.82
2013/02/11,94.19
2013/02/12,94.17
2013/02/13,94.97
2013/02/14,95.28
2013/02/15,94.44
2013/02/18,99.16
2013/02/19,103.43
2013/02/20,104.16
2013/02/21,103.25
2013/02/22,108.41
2013/02/25,113.83
2013/02/26,111.59
2013/02/27,116.9
2013/02/28,121.19
2013/03/01,122.53
2013/03/04,123.13
2013/03/05,123.53
2013/03/06,120.03
2013/03/07,122.17
2013/03/08,127.98
2013/03/11,122.53
2013/03/12,128.65
2013/03/13,124.75
2013/03/14,123.36
2013/03/15,119.61
2013/03/18,117.11
2013/03/19,120.95
2013/03/20,126.61
2013/03/21,131.2
2013/03/22,129.32
2013/03/25,130.88
2013/03/26,130.03
2013/03/27,129.66
2013/03/28,128.34
2013/03/29,129.0
2013/04/01,134.4
2013/04/02,135.29
2013/04/03,136.23
2013/04/04,135.75
2013/04/05,134.07
2013/04/08,136.3
2013/04/09,142.06
2013/04/10,141.15
2013/04/11,142.89
2013/04/12,140.59
2013/04/15,134.0
2013/04/16,130.54
2013/04/17,134.58
2013/04/18,138.33
2013/04/19,137.45
2013/04/22,130.58
2013/04/23,135.12
2013/04/24,139.35
2013/04/25,138.95
2013/04/26,137.94
2013/04/29,134.71
2013/04/30,134.24
2013/05/02,132.02
2013/05/03,133.57
2013/05/06,135.07
2013/05/07,135.03
2013/05/08,137.01
2013/05/09,138.92
2013/05/10,140.49
2013/05/13,140.58
2013/05/14,140.05
2013/05/15,141.63
2013/05/16,140.49
2013/05/17,141.04
2013/05/20,141.07
2013/05/21,141.24
2013/05/22,141.54
2013/05/23,148.55
2013/05/24,148.8
2013/05/27,144.96
2013/05/28,147.55
2013/05/29,147.47
2013/05/30,148.33
2013/05/31,146.92
2013/06/03,148.02
2013/06/04,148.75
2013/06/05,144.14
2013/06/06,146.85
2013/06/07,145.89
2013/06/10,143.17
2013/06/11,140.53
2013/06/12,141.13
2013/06/13,144.23
2013/06/14,142.07
2013/06/17,141.8
2013/06/18,139.13
2013/06/19,140.68
2013/06/20,139.62
2013/06/21,132.73
2013/06/24,126.1
2013/06/25,121.57
2013/06/26,120.84
2013/06/27,122.09
2013/06/28,121.87
2013/07/01,125.67
2013/07/02,131.95
2013/07/03,138.54
2013/07/04,142.78
2013/07/05,140.5
2013/07/08,147.39
2013/07/09,154.72
2013/07/10,159.41
2013/07/11,164.53
2013/07/12,172.75
2013/07/15,181.38
2013/07/16,176.61
2013/07/17,167.78
2013/07/18,164.99
2013/07/19,173.23
2013/07/22,175.54
2013/07/23,178.43
2013/07/24,175.8
2013/07/25,169.21
2013/07/26,164.86
2013/07/29,162.34
2013/07/30,164.36
2013/07/31,161.66
2013/08/01,153.7
2013/08/05,146.15
2013/08/06,140.24
2013/08/07,146.06
2013/08/12,148.77
2013/08/13,154.72
2013/08/15,150.02
2013/08/16,151.62
2013/08/19,145.64
2013/08/20,144.83
2013/08/21,143.6
2013/08/22,138.28
2013/08/23,137.28
2013/08/26,144.14
2013/08/27,140.71
2013/08/28,140.95
2013/08/29,140.88
2013/08/30,141.48
2013/09/02,136.71
2013/09/03,138.29
2013/09/04,138.41
2013/09/05,145.33
2013/09/06,152.19
2013/09/09,154.24
2013/09/10,153.93
2013/09/11,152.13
2013/09/12,148.72
2013/09/13,147.82
2013/09/16,145.44
2013/09/17,143.66
2013/09/18,140.4
2013/09/19,147.42
2013/09/20,150.71
2013/09/23,149.72
2013/09/24,145.14
2013/09/25,146.64
2013/09/26,142.92
2013/09/27,141.72
2013/09/30,135.78
2013/10/01,137.1
2013/10/02,143.52
2013/10/03,142.48
2013/10/04,141.98
2013/10/07,138.95
2013/10/08,138.97
2013/10/09,135.63
2013/10/10,137.8
2013/10/11,138.7
2013/10/14,132.41
2013/10/21,134.04
2013/10/22,138.51
2013/10/23,137.3
2013/10/24,135.09
2013/10/25,132.88
2013/10/28,131.31
2013/10/29,129.08
2013/10/30,122.72
2013/10/31,126.68
2013/11/01,123.73
2013/11/04,120.75
2013/11/05,126.78
2013/11/06,133.11
2013/11/07,133.23
2013/11/08,138.43
2013/11/11,135.9
2013/11/12,136.36
2013/11/13,142.97
2013/11/18,149.79
2013/11/19,154.12
2013/11/20,147.88
2013/11/21,143.53
2013/11/22,144.26
2013/11/25,146.24
2013/11/26,142.71
2013/11/27,143.66
2013/11/28,146.01
2013/11/29,148.81
2013/12/02,149.81
2013/12/03,156.23
2013/12/04,154.56
2013/12/05,155.6
2013/12/06,154.7
2013/12/09,160.06
2013/12/10,162.56
2013/12/11,161.77
2013/12/12,161.95
2013/12/13,165.94
2013/12/16,164.13
2013/12/17,165.63
2013/12/18,164.57
2013/12/19,162.81
2013/12/20,157.05
2013/12/23,154.06
2013/12/24,156.25
2013/12/26,161.23
2013/12/27,160.83
2013/12/30,159.94
2013/12/31,158.38
2014/01/01,159.58
2014/01/02,161.97
2014/01/03,162.77
2014/01/06,162.82
2014/01/07,170.09
2014/01/08,168.84
2014/01/09,166.36
2014/01/10,166.56
2014/01/13,166.07
2014/01/15,168.17
2014/01/16,171.04
2014/01/17,179.59
2014/01/20,188.12
2014/01/21,186.91
2014/01/22,186.2
2014/01/23,184.78
2014/01/24,179.57
2014/01/27,173.96
2014/01/28,175.05
2014/01/29,175.3
2014/01/30,176.38
2014/01/31,178.26
2014/02/03,178.97
2014/02/04,177.02
2014/02/06,177.91
2014/02/07,176.34
2014/02/10,171.64
2014/02/11,174.43
2014/02/12,183.15
2014/02/13,187.38
2014/02/14,180.88
2014/02/17,175.34
2014/02/18,176.19
2014/02/19,171.15
2014/02/20,173.43
2014/02/21,182.1
2014/02/24,189.96
2014/02/25,182.83
2014/02/26,182.4
2014/02/27,184.36
2014/02/28,188.75
2014/03/03,182.51
2014/03/04,182.23
2014/03/05,183.43
2014/03/06,186.13
2014/03/07,186.98
2014/03/10,187.26
2014/03/11,196.62
2014/03/12,194.63
2014/03/13,190.25
2014/03/14,194.06
2014/03/17,187.27
2014/03/18,187.16
2014/03/19,186.61
2014/03/20,185.98
2014/03/21,184.31
2014/03/24,185.25
2014/03/25,187.17
2014/03/26,186.01
2014/03/27,186.54
2014/03/28,186.69
2014/03/31,186.47
2014/04/01,188.37
2014/04/02,191.88
2014/04/03,194.45
2014/04/04,192.62
2014/04/07,193.95
2014/04/08,203.64
2014/04/09,204.09
2014/04/10,211.87
2014/04/11,213.86
2014/04/14,214.02
2014/04/15,212.98
2014/04/16,210.38
2014/04/17,208.68
2014/04/18,213.06
2014/04/21,208.98
2014/04/22,207.81
2014/04/23,199.75
2014/04/24,200.68
2014/04/25,199.24
2014/04/28,196.34
2014/04/29,190.04
2014/04/30,198.63
2014/05/02,203.16
2014/05/05,201.27
2014/05/06,197.06
2014/05/07,196.58
2014/05/08,195.17
2014/05/09,194.05
2014/05/12,191.34
2014/05/13,191.98
2014/05/14,194.14
2014/05/15,196.77
2014/05/16,197.88
2014/05/19,197.59
2014/05/20,200.09
2014/05/21,197.79
2014/05/22,196.25
2014/05/23,196.64
2014/05/26,197.26
2014/05/27,199.6
2014/05/28,199.82
2014/05/29,208.97
2014/05/30,213.86
2014/06/02,204.2
2014/06/03,197.53
2014/06/04,190.3
2014/06/05,185.64
2014/06/06,188.5
2014/06/09,192.65
2014/06/10,193.12
2014/06/11,192.15
2014/06/12,191.57
2014/06/13,190.75
2014/06/16,190.12
2014/06/17,189.06
2014/06/18,191.13
2014/06/19,186.33
2014/06/20,186.0
2014/06/23,190.14
2014/06/24,191.52
2014/06/25,191.03
2014/06/26,192.37
2014/06/27,187.06
2014/06/30,178.51
2014/07/01,173.74
2014/07/02,177.21
2014/07/03,177.26
2014/07/04,176.33
2014/07/07,178.92
2014/07/08,180.33
2014/07/09,181.31
2014/07/10,180.07
2014/07/11,180.55
2014/07/14,185.31
2014/07/15,180.43
2014/07/16,180.45
2014/07/17,182.23
2014/07/18,181.0
2014/07/21,185.7
2014/07/22,185.23
2014/07/23,188.31
2014/07/24,184.55
2014/07/28,184.84
2014/08/04,181.04
2014/08/05,182.81
2014/08/06,181.19
2014/08/07,182.2
2014/08/08,182.19
2014/08/11,173.09
2014/08/12,175.61
2014/08/13,173.26
2014/08/15,176.14
2014/08/18,177.74
2014/08/19,176.06
2014/08/20,172.01
2014/08/21,172.28
2014/08/22,172.86
2014/08/25,171.6
2014/08/26,169.47
2014/08/27,161.39
2014/08/28,158.61
2014/08/29,164.88
2014/09/01,163.6
2014/09/02,171.68
2014/09/03,174.09
2014/09/04,176.44
2014/09/05,173.37
2014/09/08,174.51
2014/09/09,175.75
2014/09/10,173.57
2014/09/11,175.23
2014/09/12,175.59
2014/09/15,177.72
2014/09/16,177.5
2014/09/17,174.98
2014/09/18,175.2
2014/09/19,174.16
2014/09/22,173.87
2014/09/23,175.25
2014/09/24,175.32
2014/09/25,170.75
2014/09/26,165.69
2014/09/29,162.83
2014/09/30,165.14
2014/10/01,166.3
2014/10/02,170.42
2014/10/03,168.59
2014/10/09,167.02
2014/10/10,170.0
2014/10/13,174.04
2014/10/14,172.47
2014/10/15,164.11
2014/10/16,161.58
2014/10/17,160.52
2014/10/20,160.38
2014/10/21,160.22
2014/10/22,164.57
2014/10/23,163.7
2014/10/24,165.19
2014/10/27,165.13
2014/10/28,166.08
2014/10/29,163.33
2014/10/30,165.04
2014/10/31,167.27
2014/11/05,168.51
2014/11/06,172.04
2014/11/07,172.48
2014/11/10,173.14
2014/11/11,176.94
2014/11/12,184.46
2014/11/13,188.25
2014/11/14,194.41
2014/11/17,201.93
2014/11/18,212.02
2014/11/19,209.55
2014/11/20,200.0
2014/11/21,201.97
2014/11/24,198.85
2014/11/25,207.57
2014/11/26,213.17
2014/11/27,207.84
2014/11/28,218.23
2014/12/01,228.7
2014/12/02,223.01
2014/12/03,224.33
2014/12/04,219.82
2014/12/05,219.7
2014/12/08,217.46
2014/12/09,222.83
2014/12/10,219.1
2014/12/11,214.05
2014/12/12,213.07
2014/12/15,217.21
2014/12/16,208.69
2014/12/17,210.02
2014/12/18,212.76
2014/12/19,212.49
2014/12/22,212.82
2014/12/23,214.2
2014/12/24,216.25
2014/12/26,223.5
2014/12/29,219.88
2014/12/30,219.57
2014/12/31,221.51
2015/01/01,232.37
2015/01/02,236.56
2015/01/05,247.47
2015/01/06,241.78
2015/01/07,241.46
2015/01/08,248.63
2015/01/09,246.04
2015/01/12,245.23
2015/01/13,243.13
2015/01/14,255.03
2015/01/15,258.13
