ds,y
2013/01/01,44.63
2013/01/02,44.38
2013/01/03,44.55
2013/01/04,44.93
2013/01/07,44.53
2013/01/08,44.88
2013/01/09,45.54
2013/01/10,45.01
2013/01/11,45.49
2013/01/14,45.56
2013/01/15,44.42
2013/01/16,44.8
2013/01/17,44.83
2013/01/18,45.93
2013/01/21,45.95
2013/01/22,46.9
2013/01/23,47.03
2013/01/24,47.97
2013/01/28,48.06
2013/01/29,48.45
2013/01/30,48.5
2013/01/31,48.49
2013/02/01,48.51
2013/02/04,48.48
2013/02/06,49.08
2013/02/07,49.2
2013/02/08,48.87
2013/02/11,49.64
2013/02/12,51.07
2013/02/13,50.85
2013/02/14,50.98
2013/02/15,50.66
2013/02/18,51.08
2013/02/19,50.75
2013/02/20,52.28
2013/02/21,51.77
2013/02/22,51.0
2013/02/25,51.15
2013/02/26,50.95
2013/02/27,53.49
2013/02/28,52.54
2013/03/01,53.4
2013/03/04,53.38
2013/03/05,53.92
2013/03/06,53.54
2013/03/07,52.92
2013/03/08,52.21
2013/03/11,51.09
2013/03/12,52.05
2013/03/13,52.63
2013/03/14,52.51
2013/03/15,52.34
2013/03/18,52.38
2013/03/19,53.39
2013/03/20,53.16
2013/03/21,53.45
2013/03/22,50.65
2013/03/25,51.07
2013/03/26,51.91
2013/03/27,51.14
2013/03/28,50.13
2013/03/29,50.26
2013/04/01,51.47
2013/04/02,52.34
2013/04/03,52.97
2013/04/04,52.81
2013/04/05,52.73
2013/04/08,52.42
2013/04/09,52.7
2013/04/10,52.52
2013/04/11,52.83
2013/04/12,52.63
2013/04/15,52.23
2013/04/16,52.56
2013/04/17,52.09
2013/04/18,52.92
2013/04/19,53.09
2013/04/22,52.76
2013/04/23,53.02
2013/04/24,53.69
2013/04/25,54.33
2013/04/26,54.43
2013/04/29,53.92
2013/04/30,53.94
2013/05/02,53.99
2013/05/03,55.47
2013/05/06,55.65
2013/05/07,55.32
2013/05/08,55.46
2013/05/09,55.7
2013/05/10,56.0
2013/05/13,57.27
2013/05/14,57.61
2013/05/15,58.75
2013/05/16,58.08
2013/05/17,58.86
2013/05/20,59.88
2013/05/21,60.67
2013/05/22,60.71
2013/05/23,60.93
2013/05/24,60.77
2013/05/27,59.18
2013/05/28,60.22
2013/05/29,60.82
2013/05/30,61.6
2013/05/31,63.48
2013/06/03,64.09
2013/06/04,64.0
2013/06/05,62.97
2013/06/06,62.6
2013/06/07,62.51
2013/06/10,61.11
2013/06/11,61.45
2013/06/12,63.21
2013/06/13,65.37
2013/06/14,64.18
2013/06/17,62.11
2013/06/18,61.84
2013/06/19,62.23
2013/06/20,62.05
2013/06/21,61.66
2013/06/24,60.08
2013/06/25,61.22
2013/06/26,60.6
2013/06/27,61.57
2013/06/28,61.65
2013/07/01,62.67
2013/07/02,63.74
2013/07/03,64.05
2013/07/04,64.96
2013/07/05,65.91
2013/07/08,67.49
2013/07/09,69.12
2013/07/10,69.06
2013/07/11,68.03
2013/07/12,68.07
2013/07/15,66.46
2013/07/16,66.48
2013/07/17,68.3
2013/07/18,68.25
2013/07/19,68.95
2013/07/22,69.93
2013/07/23,70.29
2013/07/24,69.47
2013/07/25,69.11
2013/07/26,68.82
2013/07/29,67.94
2013/07/30,67.4
2013/07/31,67.76
2013/08/01,67.51
2013/08/05,66.98
2013/08/06,67.06
2013/08/07,68.04
2013/08/12,67.97
2013/08/13,67.99
2013/08/15,69.27
2013/08/16,69.32
2013/08/19,71.61
2013/08/20,71.98
2013/08/21,71.0
2013/08/22,70.14
2013/08/23,69.17
2013/08/26,70.04
2013/08/27,69.47
2013/08/28,69.73
2013/08/29,69.9
2013/08/30,71.01
2013/09/02,70.4
2013/09/03,70.49
2013/09/04,70.08
2013/09/05,71.5
2013/09/06,73.42
2013/09/09,72.99
2013/09/10,72.53
2013/09/11,68.47
2013/09/12,67.85
2013/09/13,67.42
2013/09/16,66.1
2013/09/17,65.15
2013/09/18,64.37
2013/09/19,64.31
2013/09/20,64.61
2013/09/23,64.9
2013/09/24,63.47
2013/09/25,64.54
2013/09/26,64.4
2013/09/27,63.24
2013/09/30,63.73
2013/10/01,65.17
2013/10/02,64.71
2013/10/03,63.98
2013/10/04,64.45
2013/10/07,63.52
2013/10/08,63.82
2013/10/09,60.65
2013/10/10,60.91
2013/10/11,59.86
2013/10/14,60.04
2013/10/21,60.86
2013/10/22,62.99
2013/10/23,64.07
2013/10/24,62.98
2013/10/25,62.07
2013/10/28,61.82
2013/10/29,61.7
2013/10/30,62.01
2013/10/31,62.57
2013/11/01,61.82
2013/11/04,62.41
2013/11/05,62.38
2013/11/06,63.48
2013/11/07,62.48
2013/11/08,62.15
2013/11/11,60.9
2013/11/12,60.52
2013/11/13,59.0
2013/11/18,60.07
2013/11/19,60.57
2013/11/20,60.98
2013/11/21,62.48
2013/11/22,62.86
2013/11/25,63.62
2013/11/26,62.35
2013/11/27,61.51
2013/11/28,61.52
2013/11/29,61.34
2013/12/02,61.01
2013/12/03,61.57
2013/12/04,61.07
2013/12/05,61.21
2013/12/06,60.97
2013/12/09,61.57
2013/12/10,61.49
2013/12/11,61.04
2013/12/12,60.84
2013/12/13,61.08
2013/12/16,61.24
2013/12/17,61.58
2013/12/18,62.03
2013/12/19,61.71
2013/12/20,61.15
2013/12/23,61.35
2013/12/24,61.84
2013/12/26,61.52
2013/12/27,61.04
2013/12/30,60.99
2013/12/31,60.72
2014/01/01,61.61
2014/01/02,62.34
2014/01/03,62.49
2014/01/06,62.95
2014/01/07,63.84
2014/01/08,64.26
2014/01/09,64.33
2014/01/10,64.37
2014/01/13,64.63
2014/01/15,65.1
2014/01/16,64.88
2014/01/17,64.71
2014/01/20,64.97
2014/01/21,65.76
2014/01/22,65.03
2014/01/23,66.54
2014/01/24,67.71
2014/01/27,66.63
2014/01/28,65.78
2014/01/29,64.94
2014/01/30,64.63
2014/01/31,64.57
2014/02/03,64.04
2014/02/04,63.44
2014/02/06,63.43
2014/02/07,62.96
2014/02/10,62.93
2014/02/11,62.46
2014/02/12,63.37
2014/02/13,62.74
2014/02/14,62.52
2014/02/17,62.39
2014/02/18,59.28
2014/02/19,56.32
2014/02/20,54.3
2014/02/21,54.54
2014/02/24,56.02
2014/02/25,55.99
2014/02/26,55.64
2014/02/27,55.48
2014/02/28,54.63
2014/03/03,54.67
2014/03/04,55.08
2014/03/05,57.45
2014/03/06,59.4
2014/03/07,59.02
2014/03/10,58.63
2014/03/11,56.79
2014/03/12,55.53
2014/03/13,53.5
2014/03/14,53.45
2014/03/17,53.21
2014/03/18,53.07
2014/03/19,53.15
2014/03/20,52.75
2014/03/21,52.49
2014/03/24,52.13
2014/03/25,52.81
2014/03/26,52.98
2014/03/27,53.71
2014/03/28,52.41
2014/03/31,53.17
2014/04/01,53.06
2014/04/02,53.35
2014/04/03,53.96
2014/04/04,53.75
2014/04/07,53.93
2014/04/08,54.37
2014/04/09,54.79
2014/04/10,54.61
2014/04/11,53.9
2014/04/14,53.68
2014/04/15,52.54
2014/04/16,52.23
2014/04/17,52.01
2014/04/18,52.64
2014/04/21,52.02
2014/04/22,52.39
2014/04/23,52.44
2014/04/24,52.49
2014/04/25,53.28
2014/04/28,55.94
2014/04/29,56.98
2014/04/30,57.44
2014/05/02,57.12
2014/05/05,57.01
2014/05/06,57.78
2014/05/07,59.03
2014/05/08,58.76
2014/05/09,59.07
2014/05/12,58.86
2014/05/13,59.11
2014/05/14,58.85
2014/05/15,57.24
2014/05/16,57.61
2014/05/19,58.41
2014/05/20,57.95
2014/05/21,57.21
2014/05/22,57.6
2014/05/23,57.7
2014/05/26,58.33
2014/05/27,58.5
2014/05/28,56.74
2014/05/29,57.12
2014/05/30,57.12
2014/06/02,57.12
2014/06/03,56.97
2014/06/04,56.74
2014/06/05,57.1
2014/06/06,57.02
2014/06/09,56.57
2014/06/10,56.74
2014/06/11,57.09
2014/06/12,57.27
2014/06/13,56.82
2014/06/16,56.96
2014/06/17,56.96
2014/06/18,57.28
2014/06/19,57.1
2014/06/20,57.2
2014/06/23,57.48
2014/06/24,58.08
2014/06/25,57.55
2014/06/26,57.71
2014/06/27,58.16
2014/06/30,58.74
2014/07/01,59.39
2014/07/02,60.65
2014/07/03,61.65
2014/07/04,62.01
2014/07/07,61.51
2014/07/08,61.18
2014/07/09,60.55
2014/07/10,60.35
2014/07/11,60.36
2014/07/14,62.14
2014/07/15,62.28
2014/07/16,62.81
2014/07/17,63.47
2014/07/18,63.58
2014/07/21,63.68
2014/07/22,62.9
2014/07/23,63.43
2014/07/24,63.93
2014/07/28,63.27
2014/08/04,62.34
2014/08/05,61.43
2014/08/06,60.77
2014/08/07,60.95
2014/08/08,60.08
2014/08/11,57.6
2014/08/12,58.43
2014/08/13,59.07
2014/08/15,60.84
2014/08/18,60.07
2014/08/19,61.6
2014/08/20,63.23
2014/08/21,63.2
2014/08/22,63.49
2014/08/25,63.13
2014/08/26,63.0
2014/08/27,62.87
2014/08/28,62.49
2014/08/29,62.84
2014/09/01,63.42
2014/09/02,65.93
2014/09/03,65.71
2014/09/04,64.94
2014/09/05,64.29
2014/09/08,64.75
2014/09/09,65.99
2014/09/10,66.5
2014/09/11,67.45
2014/09/12,67.2
2014/09/15,67.49
2014/09/16,67.51
2014/09/17,67.52
2014/09/18,67.53
2014/09/19,67.68
2014/09/22,67.17
2014/09/23,67.82
2014/09/24,67.73
2014/09/25,67.66
2014/09/26,68.29
2014/09/29,62.5
2014/09/30,63.98
2014/10/01,63.98
2014/10/02,63.78
2014/10/03,64.87
2014/10/09,65.1
2014/10/10,65.22
2014/10/13,65.38
2014/10/14,65.39
2014/10/15,65.48
2014/10/16,65.7
2014/10/17,65.5
2014/10/20,64.77
2014/10/21,64.95
2014/10/22,63.41
2014/10/23,64.35
2014/10/24,65.07
2014/10/27,65.1
2014/10/28,67.03
2014/10/29,64.96
2014/10/30,65.15
2014/10/31,66.18
2014/11/05,66.25
2014/11/06,68.27
2014/11/07,68.34
2014/11/10,69.4
2014/11/11,69.18
2014/11/12,68.64
2014/11/13,69.95
2014/11/14,69.79
2014/11/17,70.58
2014/11/18,71.15
2014/11/19,71.96
2014/11/20,70.96
2014/11/21,70.98
2014/11/24,70.5
2014/11/25,69.4
2014/11/26,70.38
2014/11/27,70.03
2014/11/28,71.72
2014/12/01,75.14
2014/12/02,74.14
2014/12/03,74.51
2014/12/04,74.68
2014/12/05,74.88
2014/12/08,73.34
2014/12/09,74.16
2014/12/10,74.5
2014/12/11,75.11
2014/12/12,74.86
2014/12/15,75.07
2014/12/16,72.88
2014/12/17,71.62
2014/12/18,73.46
2014/12/19,75.03
2014/12/22,77.92
2014/12/23,76.79
2014/12/24,79.0
2014/12/26,79.88
2014/12/29,78.24
2014/12/30,78.71
2014/12/31,78.36
2015/01/01,80.39
2015/01/02,80.9
2015/01/05,79.99
2015/01/06,80.45
2015/01/07,80.3
2015/01/08,80.81
2015/01/09,80.51
2015/01/12,82.41
2015/01/13,83.8
2015/01/14,86.01
2015/01/15,85.82
2015/01/16,84.19
2015/01/19,82.84
2015/01/20,82.54
2015/01/21,83.23
2015/01/22,85.0
2015/01/23,83.91
2015/01/26,85.03
2015/01/27,85.63
2015/01/28,84.76
2015/01/29,84.1
2015/01/30,84.14
2015/02/02,85.61
2015/02/03,85.47
2015/02/04,85.22
2015/02/06,86.5
2015/02/09,86.61
2015/02/10,87.12
2015/02/11,86.66
2015/02/12,85.11
2015/02/13,85.63
2015/02/16,85.62
2015/02/17,88.95
2015/02/18,89.21
2015/02/19,87.67
2015/02/20,87.16
2015/02/23,89.59
2015/02/24,90.36
2015/02/25,90.01
2015/02/26,88.51
2015/02/27,88.82
2015/03/02,88.21
2015/03/03,88.51
2015/03/04,89.75
2015/03/05,90.24
2015/03/06,91.0
2015/03/09,89.88
2015/03/10,88.98
2015/03/11,90.37
2015/03/12,90.56
2015/03/13,87.73
2015/03/16,88.89
2015/03/17,89.87
2015/03/18,88.63
2015/03/19,88.94
2015/03/20,89.45
2015/03/24,87.82
2015/03/25,87.55
2015/03/26,85.69
2015/03/27,85.59
2015/03/30,81.32
2015/03/31,85.38
2015/04/01,86.08
2015/04/02,87.25
2015/04/03,87.5
2015/04/06,87.81
2015/04/07,87.3
2015/04/08,88.74
2015/04/09,88.47
2015/04/10,91.25
2015/04/13,89.54
2015/04/14,89.05
2015/04/15,88.77
2015/04/16,90.39
2015/04/17,91.64
2015/04/20,91.76
2015/04/21,91.59
2015/04/22,93.6
2015/04/23,94.17
2015/04/24,96.39
2015/04/27,95.65
2015/04/28,93.95
2015/04/29,94.21
2015/04/30,97.37
2015/05/04,96.08
2015/05/05,96.04
2015/05/06,96.27
2015/05/07,97.17
2015/05/08,97.84
2015/05/11,92.99
2015/05/12,93.35
2015/05/13,94.83
2015/05/14,95.48
2015/05/15,95.43
2015/05/18,95.0
2015/05/19,93.61
2015/05/20,92.99
2015/05/21,92.99
2015/05/22,93.29
2015/05/25,97.52
2015/05/26,96.13
2015/05/27,97.34
2015/05/28,96.74
2015/05/29,97.03
2015/06/01,96.97
2015/06/02,97.01
2015/06/03,96.93
2015/06/04,96.96
2015/06/05,97.03
2015/06/08,97.01
2015/06/09,97.13
2015/06/10,96.54
2015/06/11,97.04
2015/06/12,96.99
2015/06/15,95.0
2015/06/16,95.14
2015/06/17,96.83
2015/06/18,96.8
2015/06/19,95.58
2015/06/22,95.58
2015/06/23,95.21
2015/06/24,95.04
2015/06/25,94.14
2015/06/26,93.49
2015/06/29,94.25
2015/06/30,93.57
2015/07/01,96.03
2015/07/02,98.78
2015/07/03,98.53
2015/07/06,98.76
2015/07/07,98.0
2015/07/08,97.17
2015/07/09,97.17
2015/07/10,97.45
2015/07/13,97.35
2015/07/14,97.39
2015/07/15,98.98
2015/07/16,100.15
2015/07/22,98.84
2015/07/23,99.83
2015/07/24,99.1
2015/07/27,99.18
2015/07/28,98.01
2015/07/29,99.38
2015/07/30,99.46
2015/07/31,99.84
2015/08/03,99.83
2015/08/04,99.54
2015/08/05,99.5
2015/08/06,98.76
2015/08/07,99.02
2015/08/10,98.75
2015/08/11,98.33
2015/08/12,97.51
2015/08/13,97.54
2015/08/17,97.6
2015/08/18,98.58
2015/08/19,99.49
2015/08/20,104.29
2015/08/21,101.87
2015/08/24,97.98
2015/08/25,101.75
2015/08/26,102.36
2015/08/27,102.55
2015/08/28,102.0
2015/08/31,102.1
2015/09/01,102.0
2015/09/02,101.57
2015/09/03,103.67
2015/09/04,103.38
2015/09/07,101.04
2015/09/08,101.61
2015/09/09,103.19
2015/09/10,103.5
2015/09/11,104.96
2015/09/14,106.41
2015/09/15,106.46
2015/09/16,106.51
2015/09/17,106.0
2015/09/18,98.96
2015/09/21,99.47
2015/09/22,98.72
2015/09/23,97.6
2015/09/28,100.01
2015/09/29,98.12
2015/09/30,98.24
2015/10/01,98.79
2015/10/02,99.98
2015/10/05,100.48
2015/10/06,101.52
2015/10/07,103.82
2015/10/08,104.38
2015/10/09,102.94
2015/10/12,102.97
2015/10/13,102.67
2015/10/14,102.0
2015/10/15,102.5
2015/10/16,103.11
2015/10/19,103.0
2015/10/20,102.89
2015/10/21,102.5
2015/10/22,102.69
2015/10/26,103.66
2015/10/27,102.82
2015/10/28,104.09
2015/10/29,104.54
2015/10/30,104.26
2015/11/02,105.97
2015/11/03,105.93
2015/11/04,106.47
2015/11/05,105.98
2015/11/06,106.97
2015/11/09,106.51
2015/11/10,107.0
2015/11/11,106.52
2015/11/12,107.15
2015/11/13,106.75
2015/11/16,107.27
2015/11/17,107.51
2015/11/18,106.45
2015/11/19,105.72
2015/11/20,105.52
2015/11/23,104.65
2015/11/24,104.97
2015/11/25,103.26
2015/11/26,102.86
2015/11/27,102.74
2015/11/30,101.44
2015/12/01,101.0
2015/12/02,102.55
2015/12/03,104.09
2015/12/04,104.28
2015/12/07,104.64
2015/12/08,102.9
2015/12/09,103.94
2015/12/10,103.62
2015/12/11,103.55
2015/12/14,103.05
2015/12/15,102.02
2015/12/16,102.11
2015/12/17,102.56
2015/12/18,101.76
2015/12/21,102.98
2015/12/22,102.08
2015/12/23,101.23
2015/12/28,101.48
2015/12/29,102.5
2015/12/30,103.48
2015/12/31,102.6
2016/01/01,103.6
2016/01/04,103.7
2016/01/05,102.4
2016/01/06,102.34
2016/01/07,101.9
2016/01/08,101.59
2016/01/11,102.22
2016/01/12,102.72
