ds,y
1/1/2013,98.17 
1/2/2013,95.30 
1/3/2013,95.20 
1/4/2013,96.64 
1/7/2013,94.75 
1/8/2013,95.62 
1/9/2013,95.72 
1/10/2013,94.46 
1/11/2013,94.06 
1/14/2013,94.45 
1/15/2013,90.06 
1/16/2013,90.40 
1/17/2013,91.51 
1/18/2013,94.40 
1/21/2013,94.00 
1/22/2013,95.87 
1/23/2013,96.18 
1/24/2013,96.43 
1/28/2013,96.42 
1/29/2013,98.56 
1/30/2013,98.84 
1/31/2013,98.17 
2/1/2013,97.91 
2/4/2013,98.50 
2/6/2013,99.90 
2/7/2013,99.47 
2/8/2013,99.49 
2/11/2013,98.96 
2/12/2013,97.92 
2/13/2013,97.62 
2/14/2013,98.49 
2/15/2013,97.88 
2/18/2013,97.66 
2/19/2013,95.92 
2/20/2013,95.82 
2/21/2013,95.29 
2/22/2013,94.39 
2/25/2013,95.21 
2/26/2013,94.34 
2/27/2013,94.36 
2/28/2013,97.27 
3/1/2013,98.88 
3/4/2013,98.21 
3/5/2013,99.96 
3/6/2013,104.95 
3/7/2013,105.66 
3/8/2013,102.97 
3/11/2013,99.05 
3/12/2013,100.96 
3/13/2013,96.54 
3/14/2013,95.97 
3/15/2013,95.08 
3/18/2013,93.73 
3/19/2013,95.54 
3/20/2013,95.20 
3/21/2013,95.96 
3/22/2013,96.25 
3/25/2013,96.00 
3/26/2013,96.42 
3/27/2013,96.88 
3/28/2013,96.00 
3/29/2013,96.29 
4/1/2013,98.50 
4/2/2013,96.89 
4/3/2013,96.85 
4/4/2013,97.25 
4/5/2013,97.15 
4/8/2013,99.05 
4/9/2013,100.07 
4/10/2013,99.72 
4/11/2013,98.56 
4/12/2013,98.03 
4/15/2013,96.03 
4/16/2013,95.32 
4/17/2013,96.74 
4/18/2013,97.00 
4/19/2013,97.15 
4/22/2013,97.00 
4/23/2013,98.00 
4/24/2013,101.34 
4/25/2013,100.99 
4/26/2013,101.60 
4/29/2013,99.87 
4/30/2013,100.95 
5/2/2013,104.09 
5/3/2013,106.35 
5/6/2013,111.66 
5/7/2013,117.24 
5/8/2013,123.10 
5/9/2013,124.84 
5/10/2013,127.11 
5/13/2013,125.75 
5/14/2013,120.64 
5/15/2013,117.45 
5/16/2013,118.69 
5/17/2013,119.50 
5/20/2013,124.67 
5/21/2013,130.90 
5/22/2013,137.44 
5/23/2013,144.31 
5/24/2013,146.73 
5/27/2013,142.72 
5/28/2013,149.85 
5/29/2013,157.34 
5/30/2013,159.82 
5/31/2013,163.99 
6/3/2013,162.16 
6/4/2013,162.74 
6/5/2013,154.61 
6/6/2013,146.88 
6/7/2013,145.79 
6/10/2013,147.76 
6/11/2013,151.97 
6/12/2013,153.22 
6/13/2013,151.32 
6/14/2013,148.04 
6/17/2013,146.73 
6/18/2013,142.16 
6/19/2013,143.55 
6/20/2013,141.36 
6/21/2013,136.35 
6/24/2013,129.88 
6/25/2013,131.96 
6/26/2013,137.50 
6/27/2013,137.24 
6/28/2013,136.57 
7/1/2013,136.97 
7/2/2013,138.63 
7/3/2013,139.88 
7/4/2013,146.87 
7/5/2013,150.00 
7/8/2013,157.50 
7/9/2013,160.79 
7/10/2013,158.86 
7/11/2013,153.89 
7/12/2013,156.94 
7/15/2013,156.17 
7/16/2013,154.09 
7/17/2013,149.93 
7/18/2013,151.78 
7/19/2013,152.22 
7/22/2013,153.01 
7/23/2013,152.15 
7/24/2013,159.75 
7/25/2013,167.73 
7/26/2013,176.11 
7/29/2013,184.91 
7/30/2013,190.30 
7/31/2013,199.81 
8/1/2013,209.80 
8/5/2013,220.26 
8/6/2013,231.27 
8/7/2013,242.83 
8/12/2013,253.95 
8/13/2013,265.98 
8/15/2013,279.27 
8/16/2013,279.83 
8/19/2013,265.84 
8/20/2013,252.55 
8/21/2013,256.28 
8/22/2013,244.00 
8/23/2013,255.39 
8/26/2013,258.62 
8/27/2013,245.69 
8/28/2013,233.42 
8/29/2013,221.91 
8/30/2013,212.11 
9/2/2013,201.51 
9/3/2013,191.44 
9/4/2013,181.87 
9/5/2013,189.23 
9/6/2013,179.77 
9/9/2013,170.79 
9/10/2013,162.87 
9/11/2013,171.01 
9/12/2013,179.56 
9/13/2013,179.32 
9/16/2013,170.38 
9/17/2013,162.86 
9/18/2013,156.86 
9/19/2013,162.05 
9/20/2013,159.33 
9/23/2013,164.34 
9/24/2013,157.97 
9/25/2013,154.79 
9/26/2013,153.68 
9/27/2013,157.62 
