ds,y
1/1/2013,565.00 
1/2/2013,567.78 
1/3/2013,569.15 
1/4/2013,578.98 
1/7/2013,575.00 
1/8/2013,603.75 
1/9/2013,596.08 
1/10/2013,585.47 
1/11/2013,600.37 
1/14/2013,609.03 
1/15/2013,593.79 
1/16/2013,590.30 
1/17/2013,593.71 
1/18/2013,600.00 
1/21/2013,590.51 
1/22/2013,593.00 
1/23/2013,590.16 
1/24/2013,599.65 
1/28/2013,596.58 
1/29/2013,595.34 
1/30/2013,594.02 
1/31/2013,623.72 
2/1/2013,636.96 
2/4/2013,627.12 
2/6/2013,632.83 
2/7/2013,630.21 
2/8/2013,627.90 
2/11/2013,632.01 
2/12/2013,629.22 
2/13/2013,629.40 
2/14/2013,628.81 
2/15/2013,625.81 
2/18/2013,624.19 
2/19/2013,623.18 
2/20/2013,538.17 
2/21/2013,538.50 
2/22/2013,543.51 
2/25/2013,540.62 
2/26/2013,535.39 
2/27/2013,528.55 
2/28/2013,525.27 
3/1/2013,515.00 
3/4/2013,507.91 
3/5/2013,510.00 
3/6/2013,510.01 
3/7/2013,505.21 
3/8/2013,502.75 
3/11/2013,492.91 
3/12/2013,504.13 
3/13/2013,510.21 
3/14/2013,506.64 
3/15/2013,513.35 
3/18/2013,505.00 
3/19/2013,508.01 
3/20/2013,507.00 
3/21/2013,512.37 
3/22/2013,517.72 
3/25/2013,520.07 
3/26/2013,517.00 
3/27/2013,520.00 
3/28/2013,515.31 
3/29/2013,515.05 
4/1/2013,512.55 
4/2/2013,515.15 
4/3/2013,520.82 
4/4/2013,516.88 
4/5/2013,515.20 
4/8/2013,515.04 
4/9/2013,514.28 
4/10/2013,515.50 
4/11/2013,515.04 
4/12/2013,515.10 
4/15/2013,514.81 
4/16/2013,513.00 
4/17/2013,514.00 
4/18/2013,516.13 
4/19/2013,515.13 
4/22/2013,509.84 
4/23/2013,509.68 
4/24/2013,508.49 
4/25/2013,505.45 
4/26/2013,504.54 
4/29/2013,505.00 
4/30/2013,506.01 
5/2/2013,503.95 
5/3/2013,498.61 
5/6/2013,499.99 
5/7/2013,499.78 
5/8/2013,499.85 
5/9/2013,499.64 
5/10/2013,500.00 
5/13/2013,498.82 
5/14/2013,499.92 
5/15/2013,500.00 
5/16/2013,500.00 
5/17/2013,498.17 
5/20/2013,508.93 
5/21/2013,505.94 
5/22/2013,500.52 
5/23/2013,514.03 
5/24/2013,515.62 
5/27/2013,516.01 
5/28/2013,522.17 
5/29/2013,519.75 
5/30/2013,516.73 
5/31/2013,522.00 
6/3/2013,520.03 
6/4/2013,526.26 
6/5/2013,525.14 
6/6/2013,529.17 
6/7/2013,530.24 
6/10/2013,535.17 
6/11/2013,535.50 
6/12/2013,535.26 
6/13/2013,539.41 
6/14/2013,535.75 
6/17/2013,535.00 
6/18/2013,535.01 
6/19/2013,535.19 
6/20/2013,535.02 
6/21/2013,532.50 
6/24/2013,522.39 
6/25/2013,523.92 
6/26/2013,523.19 
6/27/2013,525.00 
6/28/2013,524.99 
7/1/2013,527.83 
7/2/2013,532.99 
7/3/2013,538.36 
7/4/2013,535.38 
7/5/2013,537.41 
7/8/2013,530.96 
7/9/2013,529.70 
7/10/2013,531.90 
7/11/2013,530.50 
7/12/2013,535.19 
7/15/2013,538.75 
7/16/2013,537.35 
7/17/2013,530.30 
7/18/2013,533.00 
7/19/2013,534.60 
7/22/2013,534.51 
7/23/2013,533.28 
7/24/2013,529.98 
7/25/2013,526.10 
7/26/2013,518.79 
7/29/2013,524.35 
7/30/2013,527.75 
7/31/2013,532.55 
8/1/2013,531.55 
8/5/2013,521.01 
8/6/2013,532.40 
8/7/2013,559.02 
8/12/2013,571.54 
8/13/2013,558.99 
8/15/2013,559.69 
8/16/2013,562.85 
8/19/2013,552.48 
8/20/2013,545.21 
8/21/2013,539.34 
8/22/2013,540.04 
8/23/2013,540.00 
8/26/2013,540.08 
8/27/2013,538.51 
8/28/2013,540.10 
8/29/2013,540.00 
8/30/2013,539.98 
9/2/2013,540.00 
9/3/2013,541.77 
9/4/2013,541.82 
9/5/2013,545.25 
9/6/2013,552.09 
9/9/2013,558.40 
9/10/2013,565.89 
9/11/2013,568.63 
9/12/2013,562.73 
9/13/2013,562.20 
9/16/2013,550.22 
9/17/2013,549.99 
9/18/2013,545.30 
9/19/2013,480.76 
9/20/2013,492.00 
9/23/2013,495.50 
9/24/2013,492.06 
9/25/2013,489.98 
9/26/2013,486.08 
9/27/2013,485.68 
9/30/2013,473.55 
10/1/2013,472.39 
10/2/2013,468.77 
10/3/2013,460.11 
10/4/2013,460.84 
10/7/2013,459.28 
10/8/2013,459.00 
10/9/2013,457.42 
10/10/2013,456.37 
10/11/2013,451.28 
10/14/2013,433.73 
10/21/2013,440.58 
10/22/2013,446.17 
10/23/2013,447.01 
10/24/2013,449.58 
10/25/2013,448.67 
10/28/2013,447.75 
10/29/2013,449.17 
10/30/2013,449.63 
10/31/2013,452.01 
11/1/2013,448.72 
11/4/2013,449.80 
11/5/2013,453.81 
11/6/2013,453.64 
11/7/2013,475.28 
11/8/2013,490.51 
11/11/2013,485.22 
11/12/2013,479.13 
11/13/2013,478.04 
11/18/2013,476.99 
11/19/2013,480.87 
11/20/2013,479.58 
11/21/2013,478.60 
11/22/2013,480.05 
11/25/2013,482.00 
11/26/2013,484.33 
11/27/2013,481.50 
11/28/2013,484.01 
11/29/2013,485.27 
12/2/2013,490.44 
12/3/2013,487.00 
12/4/2013,482.61 
12/5/2013,484.93 
12/6/2013,482.05 
12/9/2013,485.90 
12/10/2013,483.45 
12/11/2013,482.23 
12/12/2013,485.00 
12/13/2013,486.75 
12/16/2013,487.00 
12/17/2013,484.10 
12/18/2013,484.00 
12/19/2013,483.09 
12/20/2013,481.58 
12/23/2013,484.20 
12/24/2013,482.00 
12/26/2013,482.16 
12/27/2013,480.81 
12/30/2013,484.85 
12/31/2013,482.50 
1/1/2014,483.52 
1/2/2014,484.68 
1/3/2014,485.27 
1/6/2014,486.03 
1/7/2014,490.80 
1/8/2014,515.34 
1/9/2014,518.30 
1/10/2014,512.21 
1/13/2014,507.98 
1/15/2014,510.16 
1/16/2014,507.00 
1/17/2014,499.49 
1/20/2014,493.70 
1/21/2014,491.41 
1/22/2014,488.85 
1/23/2014,479.81 
1/24/2014,477.19 
1/27/2014,480.00 
1/28/2014,477.84 
1/29/2014,465.04 
1/30/2014,454.25 
1/31/2014,462.85 
2/3/2014,465.04 
2/4/2014,464.39 
2/6/2014,473.46 
2/7/2014,473.61 
2/10/2014,473.02 
2/11/2014,478.85 
2/12/2014,481.08 
2/13/2014,479.05 
2/14/2014,478.34 
2/17/2014,470.12 
2/18/2014,473.99 
2/19/2014,477.07 
2/20/2014,475.22 
2/21/2014,475.46 
2/24/2014,474.68 
2/25/2014,480.78 
2/26/2014,483.89 
2/27/2014,485.98 
2/28/2014,485.00 
3/3/2014,480.82 
3/4/2014,479.00 
3/5/2014,484.01 
3/6/2014,471.97 
3/7/2014,469.08 
3/10/2014,469.60 
3/11/2014,470.67 
3/12/2014,471.00 
3/13/2014,470.00 
3/14/2014,468.51 
3/17/2014,470.17 
3/18/2014,470.00 
3/19/2014,468.70 
3/20/2014,469.14 
3/21/2014,469.00 
3/24/2014,466.50 
3/25/2014,465.00 
3/26/2014,465.07 
3/27/2014,467.06 
3/28/2014,462.80 
3/31/2014,465.94 
4/1/2014,466.00 
4/2/2014,465.51 
4/3/2014,464.65 
4/4/2014,464.58 
4/7/2014,467.77 
4/8/2014,469.21 
4/9/2014,470.38 
4/10/2014,471.17 
4/11/2014,465.22 
4/14/2014,465.05 
4/15/2014,464.03 
4/16/2014,465.75 
4/17/2014,461.82 
4/18/2014,465.00 
4/21/2014,465.02 
4/22/2014,466.51 
4/23/2014,467.99 
4/24/2014,465.00 
4/25/2014,447.12 
4/28/2014,451.93 
4/29/2014,457.31 
4/30/2014,457.01 
5/2/2014,458.00 
5/5/2014,457.10 
5/6/2014,460.63 
5/7/2014,459.00 
5/8/2014,462.05 
5/9/2014,461.49 
5/12/2014,468.20 
5/13/2014,479.82 
5/14/2014,480.06 
5/15/2014,478.31 
5/16/2014,476.88 
5/19/2014,477.65 
5/20/2014,484.30 
5/21/2014,494.73 
5/22/2014,494.36 
5/23/2014,494.16 
5/26/2014,495.01 
5/27/2014,488.13 
5/28/2014,483.66 
5/29/2014,481.62 
5/30/2014,475.38 
6/2/2014,491.39 
6/3/2014,485.67 
6/4/2014,509.95 
6/5/2014,524.93 
6/6/2014,517.27 
6/9/2014,510.46 
6/10/2014,504.03 
6/11/2014,501.27 
6/12/2014,499.25 
6/13/2014,501.34 
6/16/2014,508.58 
6/17/2014,502.15 
6/18/2014,502.72 
6/19/2014,495.00 
6/20/2014,494.40 
6/23/2014,495.65 
6/24/2014,500.00 
6/25/2014,497.86 
6/26/2014,500.00 
6/27/2014,493.51 
6/30/2014,499.13 
7/1/2014,494.45 
7/2/2014,496.25 
7/3/2014,498.00 
7/4/2014,499.00 
7/7/2014,499.00 
7/8/2014,493.63 
7/9/2014,493.00 
7/10/2014,495.00 
7/11/2014,495.50 
7/14/2014,496.26 
7/15/2014,493.37 
7/16/2014,493.00 
7/17/2014,496.67 
7/18/2014,493.14 
7/21/2014,493.55 
7/22/2014,496.46 
7/23/2014,496.30 
7/24/2014,500.58 
7/28/2014,499.95 
8/4/2014,485.19 
8/5/2014,488.00 
8/6/2014,485.10 
8/7/2014,487.86 
8/8/2014,487.24 
8/11/2014,479.13 
8/12/2014,482.33 
8/13/2014,485.00 
8/15/2014,490.33 
8/18/2014,494.26 
8/19/2014,485.00 
8/20/2014,486.00 
8/21/2014,490.96 
8/22/2014,494.50 
8/25/2014,488.00 
8/26/2014,489.75 
8/27/2014,490.00 
8/28/2014,490.00 
8/29/2014,486.97 
9/1/2014,484.79 
9/2/2014,488.07 
9/3/2014,498.22 
9/4/2014,497.56 
9/5/2014,499.44 
9/8/2014,504.92 
9/9/2014,511.91 
9/10/2014,511.58 
9/11/2014,505.29 
9/12/2014,519.03 
9/15/2014,522.05 
9/16/2014,518.60 
9/17/2014,523.26 
9/18/2014,525.12 
9/19/2014,532.01 
9/22/2014,535.00 
9/23/2014,545.45 
9/24/2014,557.12 
9/25/2014,550.51 
9/26/2014,547.70 
9/29/2014,551.99 
9/30/2014,553.16 
10/1/2014,578.56 
10/2/2014,584.83 
10/3/2014,582.53 
10/9/2014,581.74 
10/10/2014,577.00 
10/13/2014,577.21 
10/14/2014,592.83 
10/15/2014,605.39 
10/16/2014,635.65 
10/17/2014,632.25 
10/20/2014,616.33 
10/21/2014,589.28 
10/22/2014,590.87 
10/23/2014,599.54 
10/24/2014,619.22 
10/27/2014,617.46 
10/28/2014,616.56 
10/29/2014,605.72 
10/30/2014,593.70 
10/31/2014,617.31 
11/5/2014,644.23 
11/6/2014,638.02 
11/7/2014,635.32 
11/10/2014,646.59 
11/11/2014,655.43 
11/12/2014,687.85 
11/13/2014,680.71 
11/14/2014,670.84 
11/17/2014,665.03 
11/18/2014,661.69 
11/19/2014,650.88 
11/20/2014,643.94 
11/21/2014,649.44 
11/24/2014,650.92 
11/25/2014,648.91 
11/26/2014,643.04 
11/27/2014,635.93 
11/28/2014,632.25 
12/1/2014,635.92 
12/2/2014,638.61 
12/3/2014,649.31 
12/4/2014,639.70 
12/5/2014,638.12 
12/8/2014,635.35 
12/9/2014,638.13 
12/10/2014,640.68 
12/11/2014,646.73 
12/12/2014,643.53 
12/15/2014,658.76 
12/16/2014,649.06 
12/17/2014,642.79 
12/18/2014,638.77 
12/19/2014,647.07 
12/22/2014,644.90 
12/23/2014,639.97 
12/24/2014,634.95 
12/26/2014,639.27 
12/29/2014,636.06 
12/30/2014,638.98 
12/31/2014,646.86 
1/1/2015,646.00 
1/2/2015,644.10 
1/5/2015,637.39 
