ds,y
2013/01/01,191.92
2013/01/02,187.4
2013/01/03,188.68
2013/01/04,189.01
2013/01/07,187.5
2013/01/08,189.4
2013/01/09,191.55
2013/01/10,187.09
2013/01/11,190.0
2013/01/14,188.95
2013/01/15,183.95
2013/01/16,185.55
2013/01/17,184.25
2013/01/18,185.56
2013/01/21,186.88
2013/01/22,188.96
2013/01/23,190.24
2013/01/24,192.91
2013/01/28,190.59
2013/01/29,193.39
2013/01/30,194.0
2013/01/31,194.03
2013/02/01,193.92
2013/02/04,193.71
2013/02/06,194.54
2013/02/07,193.99
2013/02/08,195.49
2013/02/11,198.75
2013/02/12,198.56
2013/02/13,202.09
2013/02/14,204.04
2013/02/15,208.3
2013/02/18,208.17
2013/02/19,207.59
2013/02/20,209.02
2013/02/21,206.91
2013/02/22,207.39
2013/02/25,205.82
2013/02/26,204.01
2013/02/27,207.28
2013/02/28,209.58
2013/03/01,207.27
2013/03/04,206.2
2013/03/05,203.83
2013/03/06,205.56
2013/03/07,203.22
2013/03/08,204.92
2013/03/11,198.82
2013/03/12,201.46
2013/03/13,198.03
2013/03/14,197.32
2013/03/15,197.32
2013/03/18,199.61
2013/03/19,200.03
2013/03/20,200.07
2013/03/21,203.81
2013/03/22,203.37
2013/03/25,204.16
2013/03/26,200.8
2013/03/27,202.22
2013/03/28,202.46
2013/03/29,203.94
2013/04/01,204.53
2013/04/02,202.95
2013/04/03,205.99
2013/04/04,205.14
2013/04/05,204.48
2013/04/08,204.95
2013/04/09,205.89
2013/04/10,205.28
2013/04/11,205.78
2013/04/12,205.31
2013/04/15,203.33
2013/04/16,199.29
2013/04/17,202.49
2013/04/18,204.06
2013/04/19,204.38
2013/04/22,204.83
2013/04/23,203.23
2013/04/24,203.53
2013/04/25,202.55
2013/04/26,202.68
2013/04/29,202.56
2013/04/30,204.0
2013/05/02,203.92
2013/05/03,204.74
2013/05/06,204.46
2013/05/07,205.41
2013/05/08,209.1
2013/05/09,209.19
2013/05/10,211.63
2013/05/13,214.58
2013/05/14,217.34
2013/05/15,211.71
2013/05/16,210.23
2013/05/17,210.15
2013/05/20,220.65
2013/05/21,231.18
2013/05/22,233.08
2013/05/23,229.56
2013/05/24,231.03
2013/05/27,231.12
2013/05/28,242.26
2013/05/29,238.84
2013/05/30,241.98
2013/05/31,243.58
2013/06/03,251.13
2013/06/04,253.96
2013/06/05,245.44
2013/06/06,244.96
2013/06/07,245.01
2013/06/10,241.92
2013/06/11,244.19
2013/06/12,249.37
2013/06/13,254.81
2013/06/14,250.08
2013/06/17,243.05
2013/06/18,239.79
2013/06/19,240.7
2013/06/20,238.56
2013/06/21,234.9
2013/06/24,229.3
2013/06/25,232.22
2013/06/26,231.95
2013/06/27,228.97
2013/06/28,228.75
2013/07/01,229.95
2013/07/02,230.89
2013/07/03,229.47
2013/07/04,230.06
2013/07/05,231.03
2013/07/08,231.64
2013/07/09,232.83
2013/07/10,238.88
2013/07/11,237.52
2013/07/12,240.31
2013/07/15,240.17
2013/07/16,239.6
2013/07/17,238.55
2013/07/18,240.04
2013/07/19,242.7
2013/07/22,249.61
2013/07/23,248.13
2013/07/24,248.55
2013/07/25,246.86
2013/07/26,246.78
2013/07/29,244.74
2013/07/30,244.06
2013/07/31,245.97
2013/08/01,243.7
2013/08/05,244.92
2013/08/06,239.29
2013/08/07,250.28
2013/08/12,253.49
2013/08/13,258.11
2013/08/15,263.43
2013/08/16,261.08
2013/08/19,261.75
2013/08/20,261.09
2013/08/21,252.61
2013/08/22,249.5
2013/08/23,246.37
2013/08/26,248.62
2013/08/27,245.22
2013/08/28,244.88
2013/08/29,244.85
2013/08/30,252.09
2013/09/02,247.68
2013/09/03,248.07
2013/09/04,247.78
2013/09/05,252.09
2013/09/06,250.55
2013/09/09,251.47
2013/09/10,253.26
2013/09/11,254.37
2013/09/12,252.88
2013/09/13,253.01
2013/09/16,253.34
2013/09/17,247.04
2013/09/18,240.93
2013/09/19,249.85
2013/09/20,250.8
2013/09/23,249.38
2013/09/24,242.35
2013/09/25,242.01
2013/09/26,240.52
2013/09/27,239.3
2013/09/30,235.02
2013/10/01,238.64
2013/10/02,240.51
2013/10/03,243.72
2013/10/04,243.82
2013/10/07,239.46
2013/10/08,240.94
2013/10/09,237.91
2013/10/10,237.37
2013/10/11,237.88
2013/10/14,237.03
2013/10/21,234.76
2013/10/22,240.0
2013/10/23,247.02
2013/10/24,254.18
2013/10/25,261.36
2013/10/28,258.24
2013/10/29,257.86
2013/10/30,260.12
2013/10/31,269.72
2013/11/01,264.33
2013/11/04,258.22
2013/11/05,266.08
2013/11/06,266.84
2013/11/07,266.87
2013/11/08,268.01
2013/11/11,267.24
2013/11/12,264.33
2013/11/13,260.13
2013/11/18,263.98
2013/11/19,263.59
2013/11/20,263.0
2013/11/21,263.97
2013/11/22,262.98
2013/11/25,263.02
2013/11/26,262.07
2013/11/27,262.75
2013/11/28,266.88
2013/11/29,267.57
2013/12/02,267.06
2013/12/03,270.85
2013/12/04,271.66
2013/12/05,280.15
2013/12/06,277.89
2013/12/09,280.16
2013/12/10,280.14
2013/12/11,280.69
2013/12/12,277.83
2013/12/13,277.64
2013/12/16,277.81
2013/12/17,276.59
2013/12/18,277.65
2013/12/19,278.93
2013/12/20,278.94
2013/12/23,280.47
2013/12/24,278.46
2013/12/26,277.26
2013/12/27,276.17
2013/12/30,278.32
2013/12/31,276.36
2014/01/01,279.6
2014/01/02,282.42
2014/01/03,283.82
2014/01/06,285.31
2014/01/07,285.61
2014/01/08,286.13
2014/01/09,287.74
2014/01/10,287.0
2014/01/13,287.83
2014/01/15,287.84
2014/01/16,287.0
2014/01/17,286.93
2014/01/20,285.55
2014/01/21,285.04
2014/01/22,279.91
2014/01/23,280.25
2014/01/24,279.53
2014/01/27,274.89
2014/01/28,272.94
2014/01/29,271.27
2014/01/30,271.38
2014/01/31,272.54
2014/02/03,274.27
2014/02/04,272.79
2014/02/06,274.6
2014/02/07,273.36
2014/02/10,268.11
2014/02/11,267.53
2014/02/12,274.1
2014/02/13,267.99
2014/02/14,268.04
2014/02/17,267.35
2014/02/18,267.45
2014/02/19,265.1
2014/02/20,263.27
2014/02/21,262.74
2014/02/24,263.76
2014/02/25,262.27
2014/02/26,259.57
2014/02/27,258.24
2014/02/28,262.45
2014/03/03,262.57
2014/03/04,263.72
2014/03/05,265.79
2014/03/06,266.85
2014/03/07,268.84
2014/03/10,272.03
2014/03/11,272.93
2014/03/12,268.9
2014/03/13,268.97
2014/03/14,270.46
2014/03/17,269.4
2014/03/18,269.29
2014/03/19,268.74
2014/03/20,263.55
2014/03/21,251.89
2014/03/24,247.07
2014/03/25,250.7
2014/03/26,249.09
2014/03/27,250.26
2014/03/28,247.47
2014/03/31,241.13
2014/04/01,246.59
2014/04/02,253.14
2014/04/03,259.15
2014/04/04,259.19
2014/04/07,262.18
2014/04/08,261.51
2014/04/09,263.85
2014/04/10,265.83
2014/04/11,266.08
2014/04/14,266.4
2014/04/15,261.8
2014/04/16,260.9
2014/04/17,260.17
2014/04/18,256.46
