ds,y
2013/01/01,436.12
2013/01/02,432.7
2013/01/03,431.79
2013/01/04,435.09
2013/01/07,432.22
2013/01/08,433.81
2013/01/09,436.87
2013/01/10,432.23
2013/01/11,434.51
2013/01/14,432.63
2013/01/15,424.93
2013/01/16,426.8
2013/01/17,427.26
2013/01/18,437.16
2013/01/21,440.64
2013/01/22,451.91
2013/01/23,449.24
2013/01/24,455.51
2013/01/28,454.56
2013/01/29,454.31
2013/01/30,453.22
2013/01/31,452.02
2013/02/01,454.58
2013/02/04,454.89
2013/02/06,466.69
2013/02/07,468.98
2013/02/08,474.36
2013/02/11,477.33
2013/02/12,473.67
2013/02/13,478.94
2013/02/14,478.82
2013/02/15,478.63
2013/02/18,477.36
2013/02/19,470.28
2013/02/20,477.96
2013/02/21,481.44
2013/02/22,482.89
2013/02/25,479.98
2013/02/26,481.38
2013/02/27,485.78
2013/02/28,480.32
2013/03/01,479.13
2013/03/04,478.88
2013/03/05,485.21
2013/03/06,481.47
2013/03/07,483.25
2013/03/08,480.49
2013/03/11,473.08
2013/03/12,462.18
2013/03/13,458.02
2013/03/14,453.97
2013/03/15,448.64
2013/03/18,449.1
2013/03/19,452.39
2013/03/20,453.38
2013/03/21,456.38
2013/03/22,457.81
2013/03/25,455.0
2013/03/26,451.56
2013/03/27,453.41
2013/03/28,453.01
2013/03/29,453.63
2013/04/01,458.17
2013/04/02,461.95
2013/04/03,470.56
2013/04/04,470.26
2013/04/05,472.85
2013/04/08,473.64
2013/04/09,475.75
2013/04/10,475.08
2013/04/11,482.07
2013/04/12,475.16
2013/04/15,472.38
2013/04/16,456.24
2013/04/17,456.31
2013/04/18,464.0
2013/04/19,461.56
2013/04/22,460.36
2013/04/23,463.39
2013/04/24,465.04
2013/04/25,467.15
2013/04/26,470.17
2013/04/29,468.88
2013/04/30,470.17
2013/05/02,470.57
2013/05/03,480.12
2013/05/06,484.17
2013/05/07,479.71
2013/05/08,483.35
2013/05/09,480.46
2013/05/10,487.83
2013/05/13,493.45
2013/05/14,494.03
2013/05/15,495.95
2013/05/16,494.12
2013/05/17,494.33
2013/05/20,496.92
2013/05/21,499.18
2013/05/22,510.56
2013/05/23,507.28
2013/05/24,503.9
2013/05/27,498.79
2013/05/28,508.7
2013/05/29,506.7
2013/05/30,507.76
2013/05/31,511.94
2013/06/03,521.52
2013/06/04,524.65
2013/06/05,518.79
2013/06/06,516.67
2013/06/07,511.77
2013/06/10,508.62
2013/06/11,505.69
2013/06/12,509.32
2013/06/13,513.02
2013/06/14,506.25
2013/06/17,500.85
2013/06/18,500.37
2013/06/19,504.61
2013/06/20,503.4
2013/06/21,499.3
2013/06/24,492.28
2013/06/25,497.73
2013/06/26,493.99
2013/06/27,493.19
2013/06/28,497.37
2013/07/01,504.87
2013/07/02,507.51
2013/07/03,510.86
2013/07/04,515.84
2013/07/05,519.41
2013/07/08,524.67
2013/07/09,530.7
2013/07/10,531.71
2013/07/11,524.93
2013/07/12,526.08
2013/07/15,519.74
2013/07/16,520.41
2013/07/17,519.89
2013/07/18,527.21
2013/07/19,529.31
2013/07/22,531.92
2013/07/23,529.31
2013/07/24,524.81
2013/07/25,523.49
2013/07/26,522.53
2013/07/29,522.79
2013/07/30,525.07
2013/07/31,520.82
2013/08/01,521.31
2013/08/05,522.03
2013/08/06,515.41
2013/08/07,524.38
2013/08/12,527.22
2013/08/13,521.42
2013/08/15,524.1
2013/08/16,516.35
2013/08/19,514.64
