ds,y
2013/01/01,176.33
2013/01/02,173.86
2013/01/03,174.13
2013/01/04,175.03
2013/01/07,173.88
2013/01/08,174.78
2013/01/09,175.86
2013/01/10,173.96
2013/01/11,174.88
2013/01/14,175.02
2013/01/15,171.14
2013/01/16,172.15
2013/01/17,173.09
2013/01/18,175.37
2013/01/21,175.69
2013/01/22,178.95
2013/01/23,178.48
2013/01/24,180.78
2013/01/28,177.36
2013/01/29,178.94
2013/01/30,178.72
2013/01/31,179.02
2013/02/01,179.0
2013/02/04,177.24
2013/02/06,178.1
2013/02/07,177.51
2013/02/08,177.98
2013/02/11,178.32
2013/02/12,178.06
2013/02/13,178.23
2013/02/14,179.55
2013/02/15,182.5
2013/02/18,183.08
2013/02/19,182.42
2013/02/20,183.13
2013/02/21,181.86
2013/02/22,181.13
2013/02/25,181.5
2013/02/26,180.34
2013/02/27,183.63
2013/02/28,185.1
2013/03/01,181.0
2013/03/04,178.63
2013/03/05,178.88
2013/03/06,178.18
2013/03/07,178.65
2013/03/08,178.56
2013/03/11,176.11
2013/03/12,180.99
2013/03/13,174.82
2013/03/14,173.8
2013/03/15,173.7
2013/03/18,172.82
2013/03/19,173.43
2013/03/20,174.43
2013/03/21,174.98
2013/03/22,175.33
2013/03/25,174.04
2013/03/26,173.7
2013/03/27,173.98
2013/03/28,174.39
2013/03/29,175.21
2013/04/01,179.91
2013/04/02,179.72
2013/04/03,182.22
2013/04/04,181.42
2013/04/05,180.36
2013/04/08,180.77
2013/04/09,179.83
2013/04/10,179.77
2013/04/11,181.34
2013/04/12,180.16
2013/04/15,181.28
2013/04/16,179.63
2013/04/17,178.31
2013/04/18,179.9
2013/04/19,179.03
2013/04/22,179.42
2013/04/23,179.8
2013/04/24,178.66
2013/04/25,180.39
2013/04/26,179.64
2013/04/29,178.8
2013/04/30,181.09
2013/05/02,183.22
2013/05/03,190.46
2013/05/06,194.98
2013/05/07,196.72
2013/05/08,199.96
2013/05/09,203.01
2013/05/10,204.24
2013/05/13,206.39
2013/05/14,205.64
2013/05/15,202.47
2013/05/16,202.29
2013/05/17,204.79
2013/05/20,212.87
2013/05/21,216.57
2013/05/22,222.76
2013/05/23,217.72
2013/05/24,215.78
2013/05/27,211.98
2013/05/28,220.7
2013/05/29,217.29
2013/05/30,217.33
2013/05/31,219.23
2013/06/03,223.0
2013/06/04,223.31
2013/06/05,219.4
2013/06/06,219.63
2013/06/07,218.91
2013/06/10,216.41
2013/06/11,215.16
2013/06/12,218.98
2013/06/13,222.52
2013/06/14,220.94
2013/06/17,216.93
2013/06/18,213.65
2013/06/19,218.0
2013/06/20,219.24
2013/06/21,215.97
2013/06/24,208.05
2013/06/25,209.47
2013/06/26,209.35
2013/06/27,209.54
2013/06/28,211.58
2013/07/01,216.38
2013/07/02,218.45
2013/07/03,227.25
2013/07/04,226.03
2013/07/05,228.74
2013/07/08,231.71
2013/07/09,232.79
2013/07/10,239.03
2013/07/11,235.95
2013/07/12,241.65
2013/07/15,248.01
2013/07/16,246.53
2013/07/17,242.04
2013/07/18,241.5
2013/07/19,243.25
2013/07/22,246.19
2013/07/23,248.33
2013/07/24,252.22
2013/07/25,252.31
2013/07/26,250.93
2013/07/29,250.62
2013/07/30,246.73
2013/07/31,246.86
2013/08/01,244.53
2013/08/05,241.1
2013/08/06,235.86
2013/08/07,245.52
2013/08/12,247.7
2013/08/13,251.5
2013/08/15,249.86
2013/08/16,250.33
2013/08/19,249.8
2013/08/20,250.92
2013/08/21,243.33
2013/08/22,239.95
2013/08/23,240.31
2013/08/26,242.16
2013/08/27,236.54
2013/08/28,235.84
2013/08/29,238.7
2013/08/30,236.98
2013/09/02,235.84
2013/09/03,237.82
2013/09/04,238.34
2013/09/05,243.97
2013/09/06,244.8
2013/09/09,247.66
2013/09/10,250.73
2013/09/11,260.06
2013/09/12,254.56
2013/09/13,257.58
2013/09/16,254.18
2013/09/17,203.67
2013/09/18,197.73
2013/09/19,200.89
2013/09/20,202.35
2013/09/23,201.45
2013/09/24,197.53
2013/09/25,197.99
2013/09/26,195.67
2013/09/27,194.3
2013/09/30,190.6
2013/10/01,193.83
2013/10/02,203.49
2013/10/03,203.94
2013/10/04,203.16
2013/10/07,198.9
2013/10/08,199.74
2013/10/09,194.12
2013/10/10,193.92
2013/10/11,194.81
2013/10/14,192.47
2013/10/21,195.9
2013/10/22,199.8
2013/10/23,201.15
2013/10/24,198.73
2013/10/25,197.85
2013/10/28,197.16
2013/10/29,198.59
2013/10/30,203.18
2013/10/31,204.18
2013/11/01,203.81
2013/11/04,200.76
2013/11/05,207.79
2013/11/06,211.82
2013/11/07,209.17
2013/11/08,210.51
2013/11/11,210.48
2013/11/12,208.32
2013/11/13,207.81
2013/11/18,210.77
2013/11/19,211.02
2013/11/20,209.55
2013/11/21,210.04
2013/11/22,209.42
2013/11/25,210.02
2013/11/26,208.08
2013/11/27,207.49
2013/11/28,209.02
2013/11/29,210.47
2013/12/02,211.33
2013/12/03,213.57
2013/12/04,211.48
2013/12/05,213.94
2013/12/06,214.72
2013/12/09,215.4
2013/12/10,213.98
2013/12/11,215.03
2013/12/12,215.75
2013/12/13,216.33
2013/12/16,215.23
2013/12/17,216.45
2013/12/18,218.16
2013/12/19,218.95
2013/12/20,217.46
2013/12/23,215.7
2013/12/24,216.41
2013/12/26,216.67
2013/12/27,215.44
2013/12/30,214.75
2013/12/31,213.96
2014/01/01,216.06
2014/01/02,218.05
2014/01/03,219.15
2014/01/06,219.34
2014/01/07,219.15
2014/01/08,218.57
2014/01/09,217.82
2014/01/10,216.65
2014/01/13,216.58
2014/01/15,217.48
2014/01/16,217.32
2014/01/17,218.19
2014/01/20,219.86
2014/01/21,221.11
2014/01/22,219.89
2014/01/23,219.09
2014/01/24,221.22
2014/01/27,219.61
2014/01/28,220.13
2014/01/29,219.89
2014/01/30,218.84
2014/01/31,221.11
2014/02/03,223.4
2014/02/04,221.14
2014/02/06,220.66
2014/02/07,219.44
2014/02/10,217.83
2014/02/11,217.03
2014/02/12,220.05
2014/02/13,219.67
2014/02/14,218.7
2014/02/17,217.6
2014/02/18,218.53
2014/02/19,217.52
2014/02/20,216.67
2014/02/21,215.09
2014/02/24,216.05
2014/02/25,216.01
2014/02/26,216.63
2014/02/27,214.47
2014/02/28,217.89
2014/03/03,218.5
2014/03/04,226.1
2014/03/05,230.2
2014/03/06,234.08
2014/03/07,232.8
2014/03/10,241.1
2014/03/11,245.61
2014/03/12,240.54
2014/03/13,234.17
2014/03/14,237.83
2014/03/17,237.14
2014/03/18,236.04
2014/03/19,232.96
2014/03/20,230.25
2014/03/21,224.12
2014/03/24,220.19
2014/03/25,221.85
2014/03/26,226.15
2014/03/27,229.11
2014/03/28,226.07
2014/03/31,223.76
2014/04/01,227.02
2014/04/02,228.38
2014/04/03,232.15
2014/04/04,231.5
2014/04/07,230.02
2014/04/08,231.42
2014/04/09,235.93
2014/04/10,237.81
2014/04/11,235.21
2014/04/14,234.3
2014/04/15,233.57
2014/04/16,233.19
2014/04/17,232.44
2014/04/18,231.01
2014/04/21,230.03
2014/04/22,232.66
2014/04/23,230.72
2014/04/24,228.74
2014/04/25,229.96
2014/04/28,228.08
2014/04/29,227.5
2014/04/30,231.93
2014/05/02,226.66
2014/05/05,221.33
2014/05/06,218.73
2014/05/07,217.45
2014/05/08,222.9
2014/05/09,220.72
2014/05/12,218.01
2014/05/13,220.24
2014/05/14,222.2
2014/05/15,223.04
2014/05/16,220.26
2014/05/19,220.23
2014/05/20,218.19
2014/05/21,218.0
2014/05/22,217.88
2014/05/23,218.17
2014/05/26,218.59
2014/05/27,218.56
2014/05/28,218.55
2014/05/29,221.29
2014/05/30,220.52
2014/06/02,219.17
2014/06/03,218.93
2014/06/04,218.05
2014/06/05,219.05
2014/06/06,220.11
2014/06/09,224.86
2014/06/10,225.18
2014/06/11,224.61
2014/06/12,223.63
2014/06/13,219.35
2014/06/16,218.06
2014/06/17,216.96
2014/06/18,216.77
2014/06/19,211.69
2014/06/20,210.99
2014/06/23,212.4
2014/06/24,211.58
2014/06/25,213.92
2014/06/26,218.68
2014/06/27,217.94
2014/06/30,224.34
2014/07/01,224.46
2014/07/02,224.51
2014/07/03,224.53
2014/07/04,224.67
2014/07/07,224.15
2014/07/08,222.06
2014/07/09,222.47
2014/07/10,223.24
2014/07/11,222.31
2014/07/14,224.18
