ds,y
2013/01/01,86.71
2013/01/02,83.92
2013/01/03,85.61
2013/01/04,86.29
2013/01/07,85.87
2013/01/08,87.5
2013/01/09,87.5
2013/01/10,87.78
2013/01/11,87.5
2013/01/14,87.03
2013/01/15,87.05
2013/01/16,87.59
2013/01/17,88.27
2013/01/18,89.26
2013/01/21,89.11
2013/01/22,90.73
2013/01/23,91.35
2013/01/24,92.0
2013/01/28,91.75
2013/01/29,93.0
2013/01/30,94.25
2013/01/31,94.08
2013/02/01,94.99
2013/02/04,95.21
2013/02/06,95.8
2013/02/07,95.2
2013/02/08,95.05
2013/02/11,95.2
2013/02/12,95.05
2013/02/13,98.15
2013/02/14,100.42
2013/02/15,99.56
2013/02/18,97.92
2013/02/19,100.76
2013/02/20,100.07
2013/02/21,100.23
2013/02/22,104.7
2013/02/25,104.87
2013/02/26,104.8
2013/02/27,104.27
2013/02/28,105.02
2013/03/01,109.36
2013/03/04,111.6
2013/03/05,113.61
2013/03/06,110.02
2013/03/07,110.83
2013/03/08,110.17
2013/03/11,108.25
2013/03/12,108.16
2013/03/13,105.06
2013/03/14,104.0
2013/03/15,102.03
2013/03/18,101.85
2013/03/19,103.0
2013/03/20,106.1
2013/03/21,100.8
2013/03/22,97.29
2013/03/25,98.21
2013/03/26,98.05
2013/03/27,99.06
2013/03/28,98.1
2013/03/29,97.95
2013/04/01,101.89
2013/04/02,103.05
2013/04/03,103.0
2013/04/04,104.6
2013/04/05,107.26
2013/04/08,107.18
2013/04/09,110.02
2013/04/10,114.82
2013/04/11,118.62
2013/04/12,117.44
2013/04/15,113.24
2013/04/16,110.81
2013/04/17,111.89
2013/04/18,117.48
2013/04/19,123.35
2013/04/22,129.03
2013/04/23,131.86
2013/04/24,130.33
2013/04/25,131.93
2013/04/26,138.52
2013/04/29,142.53
2013/04/30,146.46
2013/05/02,149.07
2013/05/03,153.06
2013/05/06,148.55
2013/05/07,147.7
2013/05/08,145.77
2013/05/09,145.88
2013/05/10,146.86
2013/05/13,154.2
2013/05/14,155.15
2013/05/15,148.16
2013/05/16,150.58
2013/05/17,148.02
2013/05/20,146.5
2013/05/21,149.98
2013/05/22,153.59
2013/05/23,150.27
2013/05/24,152.43
2013/05/27,151.8
2013/05/28,155.2
2013/05/29,155.0
2013/05/30,155.49
2013/05/31,157.4
2013/06/03,156.87
2013/06/04,156.34
2013/06/05,155.9
2013/06/06,155.5
2013/06/07,154.46
2013/06/10,151.74
2013/06/11,151.0
2013/06/12,149.46
2013/06/13,145.45
2013/06/14,143.56
2013/06/17,142.29
2013/06/18,141.78
2013/06/19,141.53
2013/06/20,139.85
2013/06/21,139.89
2013/06/24,136.5
2013/06/25,140.0
2013/06/26,143.3
2013/06/27,145.98
2013/06/28,148.72
2013/07/01,148.62
2013/07/02,145.78
2013/07/03,145.41
2013/07/04,152.67
2013/07/05,150.76
2013/07/08,153.0
2013/07/09,149.56
2013/07/10,150.0
2013/07/11,150.12
2013/07/12,150.02
2013/07/15,148.49
2013/07/16,147.71
2013/07/17,153.2
2013/07/18,150.9
2013/07/19,151.6
2013/07/22,153.82
2013/07/23,153.0
2013/07/24,154.41
2013/07/25,153.53
2013/07/26,153.32
2013/07/29,151.69
2013/07/30,150.88
2013/07/31,151.25
2013/08/01,150.05
2013/08/05,150.44
2013/08/06,153.99
2013/08/07,152.57
2013/08/12,155.0
2013/08/13,152.09
2013/08/15,148.55
2013/08/16,152.54
2013/08/19,152.18
2013/08/20,152.47
2013/08/21,150.81
2013/08/22,151.34
2013/08/23,150.01
2013/08/26,149.23
2013/08/27,143.84
2013/08/28,140.41
2013/08/29,134.92
2013/08/30,133.89
2013/09/02,137.77
2013/09/03,144.65
2013/09/04,145.0
2013/09/05,142.69
2013/09/06,144.43
2013/09/09,142.43
2013/09/10,143.0
2013/09/11,141.1
2013/09/12,139.65
2013/09/13,145.0
2013/09/16,146.75
2013/09/17,146.0
2013/09/18,144.4
2013/09/19,144.61
2013/09/20,146.24
2013/09/23,141.03
2013/09/24,140.01
2013/09/25,140.0
2013/09/26,134.79
2013/09/27,134.05
2013/09/30,129.66
2013/10/01,125.35
2013/10/02,128.76
2013/10/03,129.85
2013/10/04,127.5
2013/10/07,123.83
2013/10/08,125.66
2013/10/09,125.66
2013/10/10,122.7
2013/10/11,124.5
2013/10/14,125.42
2013/10/21,123.17
2013/10/22,124.0
2013/10/23,122.65
2013/10/24,121.37
2013/10/25,123.69
2013/10/28,123.9
2013/10/29,122.9
2013/10/30,122.0
2013/10/31,124.14
2013/11/01,123.33
2013/11/04,122.4
2013/11/05,123.18
2013/11/06,121.5
2013/11/07,123.51
2013/11/08,125.01
2013/11/11,127.33
2013/11/12,127.81
2013/11/13,134.2
2013/11/18,138.0
2013/11/19,138.12
2013/11/20,137.46
2013/11/21,134.5
2013/11/22,134.53
2013/11/25,141.25
2013/11/26,144.52
2013/11/27,143.36
2013/11/28,143.25
2013/11/29,142.0
2013/12/02,146.18
2013/12/03,143.71
2013/12/04,143.5
2013/12/05,143.08
2013/12/06,149.74
2013/12/09,149.96
2013/12/10,147.96
2013/12/11,143.37
2013/12/12,142.51
2013/12/13,143.7
2013/12/16,144.81
2013/12/17,146.32
2013/12/18,147.0
2013/12/19,145.51
2013/12/20,146.97
2013/12/23,146.29
2013/12/24,150.24
2013/12/26,153.89
2013/12/27,155.47
2013/12/30,157.0
2013/12/31,157.0
2014/01/01,164.25
2014/01/02,165.66
2014/01/03,164.25
2014/01/06,163.56
2014/01/07,165.97
2014/01/08,167.7
2014/01/09,167.52
2014/01/10,165.48
2014/01/13,167.35
2014/01/15,166.35
2014/01/16,164.84
2014/01/17,163.28
2014/01/20,163.0
2014/01/21,162.86
2014/01/22,159.85
2014/01/23,166.6
2014/01/24,163.36
2014/01/27,163.04
2014/01/28,164.45
2014/01/29,164.15
2014/01/30,167.15
2014/01/31,164.71
2014/02/03,163.83
2014/02/04,159.98
2014/02/06,161.62
2014/02/07,163.33
2014/02/10,161.37
2014/02/11,159.5
2014/02/12,156.26
2014/02/13,153.5
2014/02/14,154.1
2014/02/17,151.0
2014/02/18,158.55
2014/02/19,159.25
2014/02/20,153.42
2014/02/21,153.87
2014/02/24,152.01
2014/02/25,159.06
2014/02/26,158.1
2014/02/27,165.69
2014/02/28,160.13
2014/03/03,160.6
2014/03/04,165.06
2014/03/05,169.61
2014/03/06,178.09
2014/03/07,186.99
2014/03/10,196.33
2014/03/11,203.16
2014/03/12,212.38
2014/03/13,203.78
2014/03/14,197.43
2014/03/17,194.71
2014/03/18,190.19
2014/03/19,182.45
2014/03/20,182.07
2014/03/21,183.55
2014/03/24,187.16
2014/03/25,196.51
2014/03/26,204.31
2014/03/27,203.9
2014/03/28,202.18
2014/03/31,198.15
2014/04/01,202.04
2014/04/02,207.09
2014/04/03,211.02
2014/04/04,221.57
2014/04/07,223.03
2014/04/08,217.63
2014/04/09,221.71
2014/04/10,218.73
2014/04/11,222.66
2014/04/14,227.75
2014/04/15,218.88
2014/04/16,214.13
2014/04/17,214.76
2014/04/18,212.01
2014/04/21,216.71
2014/04/22,216.4
2014/04/23,216.73
2014/04/24,211.8
2014/04/25,211.5
2014/04/28,200.93
2014/04/29,190.89
2014/04/30,189.24
2014/05/02,188.98
2014/05/05,191.56
2014/05/06,190.81
2014/05/07,192.89
2014/05/08,193.06
2014/05/09,195.07
2014/05/12,200.6
2014/05/13,200.11
2014/05/14,200.9
2014/05/15,200.01
2014/05/16,200.47
2014/05/19,208.75
2014/05/20,205.79
2014/05/21,214.91
2014/05/22,212.22
2014/05/23,214.96
2014/05/26,216.64
2014/05/27,214.44
2014/05/28,218.67
2014/05/29,215.66
2014/05/30,215.31
2014/06/02,216.8
2014/06/03,215.97
2014/06/04,213.72
2014/06/05,213.61
2014/06/06,223.99
2014/06/09,220.79
2014/06/10,226.36
2014/06/11,237.67
2014/06/12,249.55
2014/06/13,238.91
2014/06/16,244.5
2014/06/17,256.58
2014/06/18,255.37
2014/06/19,265.84
2014/06/20,260.25
2014/06/23,273.09
2014/06/24,271.38
2014/06/25,273.89
2014/06/26,287.11
2014/06/27,284.14
2014/06/30,285.68
2014/07/01,280.86
2014/07/02,271.32
2014/07/03,273.8
2014/07/04,267.83
2014/07/07,269.74
2014/07/08,271.28
2014/07/09,284.2
2014/07/10,280.21
2014/07/11,290.65
2014/07/14,292.25
2014/07/15,289.06
2014/07/16,283.49
2014/07/17,284.82
2014/07/18,283.94
2014/07/21,281.08
2014/07/22,285.24
2014/07/23,282.18
2014/07/24,280.18
2014/07/28,278.72
2014/08/04,280.18
2014/08/05,281.55
2014/08/06,267.48
2014/08/07,254.8
2014/08/08,259.28
2014/08/11,265.85
2014/08/12,271.63
2014/08/13,259.1
2014/08/15,260.94
2014/08/18,268.64
2014/08/19,264.99
2014/08/20,258.71
2014/08/21,247.2
2014/08/22,234.84
2014/08/25,228.63
2014/08/26,238.67
2014/08/27,238.05
2014/08/28,249.95
2014/08/29,262.44
2014/09/01,265.6
2014/09/02,267.32
2014/09/03,271.91
2014/09/04,284.68
2014/09/05,284.6
2014/09/08,288.52
2014/09/09,281.41
2014/09/10,277.43
2014/09/11,277.28
2014/09/12,280.94
2014/09/15,286.36
2014/09/16,284.86
2014/09/17,284.44
2014/09/18,289.7
2014/09/19,292.71
2014/09/22,288.0
2014/09/23,283.17
2014/09/24,278.06
2014/09/25,284.28
2014/09/26,289.8
2014/09/29,290.13
2014/09/30,290.14
2014/10/01,296.75
2014/10/02,311.58
2014/10/03,327.15
2014/10/09,316.37
2014/10/10,319.28
2014/10/13,320.43
2014/10/14,308.27
2014/10/15,293.48
2014/10/16,303.97
2014/10/17,319.16
2014/10/20,318.77
2014/10/21,306.7
2014/10/22,306.05
2014/10/23,321.35
