ds,y
2013/01/01,83.24
2013/01/02,81.24
2013/01/03,81.81
2013/01/04,82.52
2013/01/07,82.69
2013/01/08,84.03
2013/01/09,85.82
2013/01/10,84.55
2013/01/11,85.83
2013/01/14,85.68
2013/01/15,82.74
2013/01/16,83.5
2013/01/17,84.09
2013/01/18,85.08
2013/01/21,85.53
2013/01/22,87.01
2013/01/23,88.41
2013/01/24,87.89
2013/01/28,89.45
2013/01/29,89.7
2013/01/30,89.46
2013/01/31,90.54
2013/02/01,91.88
2013/02/04,92.73
2013/02/06,92.18
2013/02/07,91.6
2013/02/08,91.72
2013/02/11,92.07
2013/02/12,93.03
2013/02/13,93.96
2013/02/14,93.06
2013/02/15,93.27
2013/02/18,93.74
2013/02/19,92.34
2013/02/20,94.2
2013/02/21,93.42
2013/02/22,94.56
2013/02/25,91.09
2013/02/26,90.04
2013/02/27,92.92
2013/02/28,93.31
2013/03/01,93.12
2013/03/04,92.91
2013/03/05,92.26
2013/03/06,92.6
2013/03/07,91.42
2013/03/08,87.1
2013/03/11,86.01
2013/03/12,88.46
2013/03/13,88.36
2013/03/14,88.97
2013/03/15,89.46
2013/03/18,85.03
2013/03/19,85.37
2013/03/20,84.74
2013/03/21,84.5
2013/03/22,84.87
2013/03/25,84.46
2013/03/26,84.01
2013/03/27,83.56
2013/03/28,83.51
2013/03/29,82.16
2013/04/01,83.23
2013/04/02,83.75
2013/04/03,84.19
2013/04/04,85.42
2013/04/05,87.13
2013/04/08,86.26
2013/04/09,86.45
2013/04/10,85.91
2013/04/11,86.93
2013/04/12,87.0
2013/04/15,86.0
2013/04/16,87.42
2013/04/17,87.56
2013/04/18,89.47
2013/04/19,89.11
2013/04/22,89.37
2013/04/23,87.69
2013/04/24,87.75
2013/04/25,87.69
2013/04/26,89.17
2013/04/29,89.03
2013/04/30,89.37
2013/05/02,90.24
2013/05/03,90.87
2013/05/06,89.71
2013/05/07,90.17
2013/05/08,91.49
2013/05/09,92.25
2013/05/10,93.43
2013/05/13,96.59
2013/05/14,99.31
2013/05/15,99.75
2013/05/16,104.73
2013/05/17,103.37
2013/05/20,103.53
2013/05/21,104.33
2013/05/22,105.95
2013/05/23,102.48
2013/05/24,102.69
2013/05/27,100.18
2013/05/28,102.97
2013/05/29,103.34
2013/05/30,105.37
2013/05/31,106.01
2013/06/03,105.71
2013/06/04,106.99
2013/06/05,106.17
2013/06/06,109.15
2013/06/07,108.64
2013/06/10,108.54
2013/06/11,113.92
2013/06/12,110.53
2013/06/13,116.05
2013/06/14,112.97
2013/06/17,111.39
2013/06/18,108.66
2013/06/19,109.86
2013/06/20,113.43
2013/06/21,115.2
2013/06/24,111.33
2013/06/25,110.85
2013/06/26,109.73
2013/06/27,108.61
2013/06/28,107.58
2013/07/01,111.02
2013/07/02,116.08
2013/07/03,119.09
2013/07/04,121.5
2013/07/05,125.6
2013/07/08,124.86
2013/07/09,128.98
2013/07/10,131.26
2013/07/11,129.31
2013/07/12,131.0
2013/07/15,134.11
2013/07/16,133.01
2013/07/17,133.05
2013/07/18,133.04
2013/07/19,137.14
2013/07/22,136.37
2013/07/23,133.1
2013/07/24,133.3
2013/07/25,129.44
2013/07/26,123.28
2013/07/29,120.49
2013/07/30,118.95
2013/07/31,121.66
2013/08/01,119.53
2013/08/05,115.61
2013/08/06,121.36
2013/08/07,124.47
2013/08/12,126.69
2013/08/13,128.05
2013/08/15,131.14
2013/08/16,129.94
2013/08/19,128.62
2013/08/20,127.81
2013/08/21,123.63
2013/08/22,122.93
2013/08/23,125.96
2013/08/26,131.04
2013/08/27,129.01
2013/08/28,128.96
2013/08/29,130.89
2013/08/30,132.52
2013/09/02,132.03
2013/09/03,129.99
2013/09/04,129.07
2013/09/05,131.02
2013/09/06,131.52
2013/09/09,131.41
2013/09/10,130.98
2013/09/11,129.43
2013/09/12,131.01
2013/09/13,127.53
2013/09/16,133.9
2013/09/17,135.87
2013/09/18,142.25
2013/09/19,149.36
2013/09/20,152.11
2013/09/23,154.21
2013/09/24,147.42
2013/09/25,145.11
2013/09/26,144.71
2013/09/27,137.88
2013/09/30,132.63
2013/10/01,128.68
2013/10/02,127.5
2013/10/03,123.46
2013/10/04,122.65
2013/10/07,123.57
2013/10/08,126.2
2013/10/09,123.0
2013/10/10,125.04
2013/10/11,125.04
2013/10/14,123.15
2013/10/21,118.88
2013/10/22,121.49
2013/10/23,120.95
2013/10/24,121.8
2013/10/25,123.79
2013/10/28,122.17
2013/10/29,121.38
2013/10/30,120.82
2013/10/31,123.17
2013/11/01,123.73
2013/11/04,120.7
2013/11/05,123.41
2013/11/06,127.02
2013/11/07,127.65
2013/11/08,126.65
2013/11/11,127.75
2013/11/12,129.62
2013/11/13,129.03
2013/11/18,128.27
2013/11/19,131.19
2013/11/20,131.44
2013/11/21,130.7
2013/11/22,128.17
2013/11/25,128.89
2013/11/26,126.4
2013/11/27,125.52
2013/11/28,131.42
2013/11/29,131.04
2013/12/02,133.97
2013/12/03,134.5
2013/12/04,130.72
2013/12/05,131.2
2013/12/06,131.54
2013/12/09,133.33
2013/12/10,132.23
2013/12/11,132.7
2013/12/12,132.34
2013/12/13,134.02
2013/12/16,135.03
2013/12/17,136.22
2013/12/18,135.93
2013/12/19,135.03
2013/12/20,136.21
2013/12/23,134.27
2013/12/24,133.36
2013/12/26,133.6
2013/12/27,132.79
2013/12/30,131.99
2013/12/31,132.55
2014/01/01,133.01
2014/01/02,135.8
2014/01/03,136.1
2014/01/06,136.0
2014/01/07,135.99
2014/01/08,137.53
2014/01/09,141.22
2014/01/10,141.08
2014/01/13,140.54
2014/01/15,140.79
2014/01/16,138.07
2014/01/17,139.29
2014/01/20,138.11
2014/01/21,139.1
2014/01/22,137.66
2014/01/23,138.16
2014/01/24,137.76
2014/01/27,133.59
2014/01/28,132.58
2014/01/29,133.25
2014/01/30,133.88
2014/01/31,133.99
2014/02/03,135.01
2014/02/04,133.91
2014/02/06,134.9
2014/02/07,134.08
2014/02/10,130.93
2014/02/11,130.36
2014/02/12,132.95
2014/02/13,133.86
2014/02/14,133.98
2014/02/17,131.29
2014/02/18,132.1
2014/02/19,133.4
2014/02/20,134.96
2014/02/21,135.34
2014/02/24,133.98
2014/02/25,133.51
2014/02/26,134.95
2014/02/27,135.25
2014/02/28,133.31
2014/03/03,135.27
2014/03/04,142.03
2014/03/05,143.66
2014/03/06,146.52
2014/03/07,146.51
2014/03/10,146.69
2014/03/11,147.11
2014/03/12,145.36
2014/03/13,144.63
2014/03/14,141.38
2014/03/17,143.14
2014/03/18,142.77
2014/03/19,143.89
2014/03/20,142.73
2014/03/21,144.83
2014/03/24,144.69
2014/03/25,147.36
2014/03/26,150.68
2014/03/27,158.21
2014/03/28,163.23
2014/03/31,161.83
2014/04/01,164.0
2014/04/02,169.47
2014/04/03,168.02
2014/04/04,165.02
2014/04/07,167.15
2014/04/08,166.02
2014/04/09,168.01
2014/04/10,170.99
2014/04/11,167.32
2014/04/14,164.22
2014/04/15,172.43
2014/04/16,181.05
2014/04/17,187.07
2014/04/18,181.66
2014/04/21,177.83
2014/04/22,186.72
2014/04/23,178.84
2014/04/24,179.89
2014/04/25,181.7
2014/04/28,180.16
2014/04/29,179.99
2014/04/30,183.7
2014/05/02,183.74
2014/05/05,175.1
2014/05/06,171.41
2014/05/07,172.77
2014/05/08,173.74
2014/05/09,172.47
2014/05/12,170.24
2014/05/13,168.81
2014/05/14,168.58
2014/05/15,169.94
2014/05/16,168.96
2014/05/19,166.65
2014/05/20,165.45
2014/05/21,164.83
2014/05/22,164.55
2014/05/23,165.3
2014/05/26,173.56
2014/05/27,175.19
2014/05/28,176.93
2014/05/29,182.38
2014/05/30,181.73
2014/06/02,184.81
2014/06/03,184.5
2014/06/04,183.73
2014/06/05,174.55
2014/06/06,170.74
2014/06/09,172.49
2014/06/10,170.38
2014/06/11,174.23
2014/06/12,170.02
2014/06/13,174.75
2014/06/16,176.3
2014/06/17,172.77
2014/06/18,170.43
2014/06/19,166.06
2014/06/20,164.68
2014/06/23,165.99
2014/06/24,168.41
2014/06/25,169.54
2014/06/26,169.8
2014/06/27,167.73
2014/06/30,168.56
2014/07/01,171.06
2014/07/02,169.02
2014/07/03,169.0
2014/07/04,170.0
2014/07/07,169.09
2014/07/08,169.7
2014/07/09,169.1
2014/07/10,167.05
2014/07/11,166.52
2014/07/14,168.47
2014/07/15,169.4
2014/07/16,172.49
2014/07/17,180.84
2014/07/18,180.03
2014/07/21,183.62
2014/07/22,188.01
2014/07/23,187.97
2014/07/24,187.16
2014/07/28,194.74
2014/08/04,198.39
2014/08/05,196.71
2014/08/06,187.94
2014/08/07,183.98
2014/08/08,182.7
2014/08/11,173.57
2014/08/12,175.28
2014/08/13,178.64
2014/08/15,182.84
2014/08/18,182.39
2014/08/19,180.54
2014/08/20,180.96
2014/08/21,179.92
2014/08/22,179.13
2014/08/25,178.69
2014/08/26,175.55
2014/08/27,172.08
2014/08/28,172.43
2014/08/29,179.7
2014/09/01,177.29
2014/09/02,176.45
2014/09/03,177.69
2014/09/04,179.19
2014/09/05,178.06
2014/09/08,180.26
2014/09/09,181.97
2014/09/10,182.19
2014/09/11,183.69
2014/09/12,188.16
2014/09/15,194.33
2014/09/16,192.95
2014/09/17,192.4
2014/09/18,190.41
2014/09/19,193.82
2014/09/22,194.12
2014/09/23,193.16
2014/09/24,190.97
2014/09/25,189.42
2014/09/26,185.86
2014/09/29,184.87
2014/09/30,188.34
2014/10/01,191.16
2014/10/02,190.85
2014/10/03,191.19
2014/10/09,191.04
2014/10/10,190.11
2014/10/13,191.77
2014/10/14,187.66
2014/10/15,187.06
2014/10/16,186.76
2014/10/17,186.55
2014/10/20,185.2
2014/10/21,188.05
2014/10/22,187.83
2014/10/23,188.6
2014/10/24,187.29
2014/10/27,186.75
2014/10/28,188.71
2014/10/29,189.66
2014/10/30,193.42
2014/10/31,196.6
2014/11/05,193.0
2014/11/06,193.94
2014/11/07,193.72
2014/11/10,193.54
2014/11/11,191.8
2014/11/12,191.34
2014/11/13,189.19
2014/11/14,187.09
2014/11/17,189.19
2014/11/18,187.9
2014/11/19,185.04
2014/11/20,180.16
2014/11/21,180.29
2014/11/24,179.75
2014/11/25,175.68
2014/11/26,180.69
2014/11/27,178.89
2014/11/28,177.09
2014/12/01,177.69
2014/12/02,180.63
2014/12/03,180.61
2014/12/04,179.51
2014/12/05,180.92
2014/12/08,179.02
2014/12/09,178.5
2014/12/10,176.03
2014/12/11,174.29
2014/12/12,172.13
2014/12/15,168.2
2014/12/16,166.98
2014/12/17,163.23
2014/12/18,161.91
2014/12/19,163.09
2014/12/22,168.35
2014/12/23,175.01
2014/12/24,178.58
2014/12/26,179.0
2014/12/29,177.79
2014/12/30,177.43
2014/12/31,176.71
2015/01/01,174.98
2015/01/02,174.98
2015/01/05,175.01
2015/01/06,173.92
2015/01/07,175.07
2015/01/08,175.01
2015/01/09,174.33
2015/01/12,176.86
2015/01/13,175.4
2015/01/14,175.3
2015/01/15,179.49
2015/01/16,180.51
2015/01/19,177.96
2015/01/20,178.76
2015/01/21,184.87
2015/01/22,179.89
2015/01/23,179.66
2015/01/26,181.58
2015/01/27,179.11
2015/01/28,178.9
2015/01/29,177.92
2015/01/30,179.99
2015/02/02,179.12
2015/02/03,178.41
2015/02/04,177.09
2015/02/06,176.52
2015/02/09,176.56
2015/02/10,173.15
2015/02/11,173.76
2015/02/12,173.56
2015/02/13,172.03
2015/02/16,172.28
2015/02/17,173.31
2015/02/18,170.16
2015/02/19,171.17
2015/02/20,171.04
2015/02/23,169.99
2015/02/24,169.85
2015/02/25,170.1
2015/02/26,167.56
2015/02/27,168.79
2015/03/02,167.69
2015/03/03,167.06
2015/03/04,168.52
2015/03/05,166.75
2015/03/06,164.38
2015/03/09,159.66
